"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",278
"3","Ascending Vasa Recta Endothelial",39
"4","Connecting Tubule",2078
"5","Connecting Tubule Principal",2
"6","Cortical Collecting Duct Intercalated Type A",4
"7","Cortical Collecting Duct Principal",710
"8","Cortical Thick Ascending Limb",1
"9","Cortical Vascular Smooth Muscle / Pericyte",7
"10","Cycling Mononuclear Phagocyte",3
"11","Descending Thin Limb Type 1",3092
"12","Descending Thin Limb Type 2",20
"13","Descending Thin Limb Type 3",86
"14","Descending Vasa Recta Endothelial ",50
"15","Fibroblast",8
"16","Glomerular Capillary Endothelial",1
"17","Inner Medullary Collecting Duct",1462
"18","Intercalated Type B",1
"19","M2 Macrophage",16
"20","Macula Densa",19
"21","Medullary Fibroblast",277
"22","Medullary Thick Ascending Limb",46
"23","Mesangial",1
"24","Monocyte-derived",2
"25","Outer Medullary Collecting Duct Intercalated Type A",17
"26","Papillary Tip Epithelial",68
"27","Parietal Epithelial",4
"28","Peritubular Capilary Endothelial ",1
"29","Proximal Tubule Epithelial Segment 1",3
"30","Proximal Tubule Epithelial Segment 3",1
"31","Vascular Smooth Muscle / Pericyte",9
