"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",9
"3","Ascending Vasa Recta Endothelial",11
"4","Connecting Tubule",70
"5","Connecting Tubule Principal",3
"6","Cortical Collecting Duct Intercalated Type A",14
"7","Cortical Collecting Duct Principal",47
"8","Cortical Thick Ascending Limb",359
"9","Cortical Vascular Smooth Muscle / Pericyte",2
"10","Descending Thin Limb Type 1",580
"11","Descending Thin Limb Type 2",5
"12","Descending Thin Limb Type 3",8
"13","Descending Vasa Recta Endothelial ",24
"14","Distal Convoluted Tubule Type 1",10
"15","Fibroblast",15
"16","Inner Medullary Collecting Duct",1388
"17","Intercalated Type B",1
"18","Macula Densa",26
"19","Medullary Fibroblast",31
"20","Medullary Thick Ascending Limb",355
"21","Mesangial",1
"22","Outer Medullary Collecting Duct Intercalated Type A",26
"23","Peritubular Capilary Endothelial ",7
"24","Vascular Smooth Muscle / Pericyte",4
