"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",9
"2","Ascending Thin Limb",1
"3","Ascending Vasa Recta Endothelial",2
"4","B",1
"5","Classical Dendritic",1
"6","Connecting Tubule",1350
"7","Connecting Tubule Principal",1
"8","Cortical Vascular Smooth Muscle / Pericyte",324
"9","Cycling Mononuclear Phagocyte",1
"10","Descending Thin Limb Type 1",169
"11","Descending Thin Limb Type 2",1
"12","Descending Thin Limb Type 3",1
"13","Descending Vasa Recta Endothelial ",2
"14","Fibroblast",657
"15","Inner Medullary Collecting Duct",3161
"16","Lymphatic Endothelial",6
"17","M2 Macrophage",105
"18","Macula Densa",18
"19","Medullary Fibroblast",726
"20","Mesangial",1
"21","Papillary Tip Epithelial",340
"22","Parietal Epithelial",2
"23","Peritubular Capilary Endothelial ",33
"24","T",8
"25","Vascular Smooth Muscle / Pericyte",74
