"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",34
"2","Ascending Thin Limb",1830
"3","Ascending Vasa Recta Endothelial",211
"4","B",109
"5","Classical Dendritic",158
"6","Connecting Tubule",3227
"7","Connecting Tubule Principal",182
"8","Cortical Collecting Duct Intercalated Type A",785
"9","Cortical Collecting Duct Principal",1477
"10","Cortical Thick Ascending Limb",3936
"11","Cortical Vascular Smooth Muscle / Pericyte",1
"12","Descending Thin Limb Type 1",25742
"13","Descending Thin Limb Type 2",44426
"14","Descending Thin Limb Type 3",69
"15","Descending Vasa Recta Endothelial ",90
"16","Distal Convoluted Tubule Type 1",1508
"17","Fibroblast",305
"18","Glomerular Capillary Endothelial",135
"19","Inner Medullary Collecting Duct",7712
"20","Intercalated Type B",308
"21","Lymphatic Endothelial",1
"22","M2 Macrophage",43
"23","Macula Densa",143
"24","Mast",32
"25","Medullary Fibroblast",235
"26","Medullary Thick Ascending Limb",5130
"27","Mesangial",64
"28","Monocyte-derived",97
"29","Outer Medullary Collecting Duct Intercalated Type A",291
"30","Outer Medullary Collecting Duct Principal",435
"31","Parietal Epithelial",555
"32","Peritubular Capilary Endothelial ",324
"33","Podocyte",2
"34","Proximal Tubule Epithelial Segment 1",111
"35","Proximal Tubule Epithelial Segment 2",8
"36","Proximal Tubule Epithelial Segment 3",65
"37","T",791
"38","Vascular Smooth Muscle / Pericyte",131
