"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",213
"2","Ascending Thin Limb",3040
"3","Ascending Vasa Recta Endothelial",445
"4","B",1
"5","Connecting Tubule",4246
"6","Connecting Tubule Principal",374
"7","Cortical Collecting Duct Intercalated Type A",961
"8","Cortical Collecting Duct Principal",15652
"9","Cortical Thick Ascending Limb",3924
"10","Cortical Vascular Smooth Muscle / Pericyte",51
"11","Cycling Mononuclear Phagocyte",5
"12","Descending Thin Limb Type 1",9783
"13","Descending Thin Limb Type 2",4820
"14","Descending Thin Limb Type 3",190
"15","Descending Vasa Recta Endothelial ",243
"16","Distal Convoluted Tubule Type 1",7276
"17","Fibroblast",1208
"18","Glomerular Capillary Endothelial",5
"19","Inner Medullary Collecting Duct",4823
"20","Intercalated Type B",386
"21","M2 Macrophage",51
"22","Macula Densa",207
"23","Medullary Fibroblast",543
"24","Medullary Thick Ascending Limb",2676
"25","Mesangial",26367
"26","Monocyte-derived",45
"27","Natural Killer T",1
"28","Outer Medullary Collecting Duct Intercalated Type A",353
"29","Outer Medullary Collecting Duct Principal",72
"30","Parietal Epithelial",221
"31","Peritubular Capilary Endothelial ",332
"32","Podocyte",49
"33","Proximal Tubule Epithelial Segment 1",97
"34","Proximal Tubule Epithelial Segment 3",213
"35","Renin-positive Juxtaglomerular Granular",1
"36","T",2
"37","Vascular Smooth Muscle / Pericyte",292
