"","cell_type","count"
"1","Ascending Thin Limb",1
"2","Ascending Vasa Recta Endothelial",3
"3","Connecting Tubule",26
"4","Cortical Collecting Duct Intercalated Type A",5
"5","Cortical Collecting Duct Principal",107
"6","Cortical Thick Ascending Limb",463
"7","Cortical Vascular Smooth Muscle / Pericyte",1
"8","Descending Thin Limb Type 1",1255
"9","Descending Thin Limb Type 2",35
"10","Descending Thin Limb Type 3",2
"11","Descending Vasa Recta Endothelial ",1
"12","Distal Convoluted Tubule Type 1",21
"13","Glomerular Capillary Endothelial",1
"14","Inner Medullary Collecting Duct",1063
"15","Macula Densa",5
"16","Medullary Fibroblast",2
"17","Medullary Thick Ascending Limb",883
"18","Outer Medullary Collecting Duct Intercalated Type A",15
"19","Outer Medullary Collecting Duct Principal",15
"20","Proximal Tubule Epithelial Segment 1",57
"21","Proximal Tubule Epithelial Segment 2",7
"22","Proximal Tubule Epithelial Segment 3",32
