"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Vasa Recta Endothelial",20
"3","Connecting Tubule",1934
"4","Connecting Tubule Principal",10
"5","Cortical Collecting Duct Intercalated Type A",42
"6","Cortical Collecting Duct Principal",60
"7","Cortical Thick Ascending Limb",523
"8","Cortical Vascular Smooth Muscle / Pericyte",5
"9","Descending Thin Limb Type 1",2477
"10","Descending Thin Limb Type 2",27
"11","Descending Thin Limb Type 3",4
"12","Descending Vasa Recta Endothelial ",23
"13","Distal Convoluted Tubule Type 1",90
"14","Distal Convoluted Tubule Type 2",1
"15","Fibroblast",12
"16","Glomerular Capillary Endothelial",5
"17","Inner Medullary Collecting Duct",1797
"18","M2 Macrophage",1
"19","Macula Densa",23
"20","Medullary Fibroblast",21
"21","Medullary Thick Ascending Limb",1205
"22","Outer Medullary Collecting Duct Intercalated Type A",5
"23","Outer Medullary Collecting Duct Principal",8
"24","Peritubular Capilary Endothelial ",26
"25","Podocyte",1
"26","Proximal Tubule Epithelial Segment 3",10
"27","Vascular Smooth Muscle / Pericyte",11
