"","cell_type","count"
"1","Ascending Thin Limb",1
"2","Connecting Tubule",2083
"3","Connecting Tubule Principal",11
"4","Cortical Collecting Duct Intercalated Type A",67
"5","Cortical Collecting Duct Principal",15
"6","Cortical Thick Ascending Limb",94
"7","Descending Thin Limb Type 1",388
"8","Descending Thin Limb Type 2",375
"9","Descending Thin Limb Type 3",88
"10","Distal Convoluted Tubule Type 1",769
"11","Distal Convoluted Tubule Type 2",2
"12","Fibroblast",26
"13","Inner Medullary Collecting Duct",1202
"14","Intercalated Type B",38
"15","M2 Macrophage",30
"16","Macula Densa",2
"17","Medullary Fibroblast",4
"18","Medullary Thick Ascending Limb",408
"19","Mesangial",2
"20","Outer Medullary Collecting Duct Intercalated Type A",19
"21","Parietal Epithelial",4
"22","Peritubular Capilary Endothelial ",75
"23","Podocyte",10
"24","Proximal Tubule Epithelial Segment 1",530
"25","Proximal Tubule Epithelial Segment 2",8
"26","Proximal Tubule Epithelial Segment 3",155
"27","Renin-positive Juxtaglomerular Granular",1
"28","T",1
"29","Vascular Smooth Muscle / Pericyte",2
