"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",3
"2","Ascending Thin Limb",2
"3","Ascending Vasa Recta Endothelial",1
"4","Connecting Tubule",3210
"5","Connecting Tubule Principal",1
"6","Cortical Collecting Duct Intercalated Type A",1
"7","Cortical Collecting Duct Principal",1
"8","Cortical Vascular Smooth Muscle / Pericyte",88
"9","Descending Thin Limb Type 1",745
"10","Descending Thin Limb Type 3",1
"11","Descending Vasa Recta Endothelial ",2
"12","Fibroblast",745
"13","Inner Medullary Collecting Duct",8387
"14","Lymphatic Endothelial",7
"15","M2 Macrophage",394
"16","Medullary Fibroblast",510
"17","Mesangial",4
"18","Papillary Tip Epithelial",1865
"19","Parietal Epithelial",2
"20","Peritubular Capilary Endothelial ",27
"21","Podocyte",1
"22","Vascular Smooth Muscle / Pericyte",2
