"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",53
"3","Ascending Vasa Recta Endothelial",5
"4","Connecting Tubule",1060
"5","Connecting Tubule Principal",1
"6","Cortical Collecting Duct Intercalated Type A",4
"7","Cortical Collecting Duct Principal",92
"8","Cortical Thick Ascending Limb",325
"9","Cortical Vascular Smooth Muscle / Pericyte",8
"10","Descending Thin Limb Type 1",1232
"11","Descending Thin Limb Type 2",18
"12","Descending Thin Limb Type 3",8
"13","Descending Vasa Recta Endothelial ",13
"14","Distal Convoluted Tubule Type 1",14
"15","Fibroblast",14
"16","Glomerular Capillary Endothelial",1
"17","Inner Medullary Collecting Duct",2163
"18","Macula Densa",94
"19","Medullary Fibroblast",54
"20","Medullary Thick Ascending Limb",601
"21","Outer Medullary Collecting Duct Intercalated Type A",55
"22","Outer Medullary Collecting Duct Principal",5
"23","Parietal Epithelial",2
"24","Peritubular Capilary Endothelial ",2
"25","Podocyte",11
"26","Proximal Tubule Epithelial Segment 3",1
"27","Vascular Smooth Muscle / Pericyte",8
