"","cell_type","count"
"1","Ascending Thin Limb",43
"2","Ascending Vasa Recta Endothelial",20
"3","Connecting Tubule",312
"4","Cortical Collecting Duct Intercalated Type A",10
"5","Cortical Collecting Duct Principal",82
"6","Cortical Thick Ascending Limb",29
"7","Descending Thin Limb Type 1",327
"8","Descending Thin Limb Type 2",18
"9","Descending Thin Limb Type 3",13
"10","Descending Vasa Recta Endothelial ",8
"11","Distal Convoluted Tubule Type 1",6
"12","Fibroblast",5
"13","Glomerular Capillary Endothelial",2
"14","Inner Medullary Collecting Duct",106
"15","Intercalated Type B",5
"16","M2 Macrophage",3
"17","Macula Densa",10
"18","Medullary Fibroblast",36
"19","Medullary Thick Ascending Limb",429
"20","Monocyte-derived",2
"21","Outer Medullary Collecting Duct Intercalated Type A",19
"22","Outer Medullary Collecting Duct Principal",1
"23","Papillary Tip Epithelial",2
"24","Parietal Epithelial",2
"25","Peritubular Capilary Endothelial ",7
"26","Vascular Smooth Muscle / Pericyte",2
