"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",14
"2","Ascending Thin Limb",5082
"3","Ascending Vasa Recta Endothelial",97
"4","B",38
"5","Classical Dendritic",19
"6","Connecting Tubule",1157
"7","Connecting Tubule Principal",444
"8","Cortical Collecting Duct Intercalated Type A",389
"9","Cortical Collecting Duct Principal",4923
"10","Cortical Thick Ascending Limb",5246
"11","Cortical Vascular Smooth Muscle / Pericyte",66
"12","Descending Thin Limb Type 1",4149
"13","Descending Thin Limb Type 2",5716
"14","Descending Thin Limb Type 3",107
"15","Descending Vasa Recta Endothelial ",93
"16","Distal Convoluted Tubule Type 1",2467
"17","Fibroblast",954
"18","Glomerular Capillary Endothelial",398
"19","Inner Medullary Collecting Duct",10575
"20","Intercalated Type B",304
"21","M2 Macrophage",246
"22","Macula Densa",77
"23","Medullary Fibroblast",323
"24","Medullary Thick Ascending Limb",1028
"25","Mesangial",220
"26","Monocyte-derived",36
"27","Outer Medullary Collecting Duct Intercalated Type A",144
"28","Outer Medullary Collecting Duct Principal",299
"29","Parietal Epithelial",131
"30","Peritubular Capilary Endothelial ",830
"31","Podocyte",68
"32","Proximal Tubule Epithelial Segment 1",751
"33","Proximal Tubule Epithelial Segment 2",9
"34","Proximal Tubule Epithelial Segment 3",202
"35","Renin-positive Juxtaglomerular Granular",9
"36","T",38
"37","Vascular Smooth Muscle / Pericyte",34232
