"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","U","27","0.823673","unknown","unknown",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Female","U","115","3.50824","unknown","unknown",""
"B","kidney_l3","CL:0000785","Female","U","3","0.0915192","unknown","unknown",""
"Classical Dendritic","kidney_l3","CL:0000451","Female","U","2","0.0610128","unknown","unknown",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","U","90","2.74558","unknown","unknown",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Female","U","2","0.0610128","unknown","unknown",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","U","62","1.8914","unknown","unknown",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Female","U","135","4.11836","unknown","unknown",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","U","192","5.85723","unknown","unknown",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","U","373","11.3789","unknown","unknown",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","U","47","1.4338","unknown","unknown",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Female","U","7","0.213545","unknown","unknown",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","U","208","6.34533","unknown","unknown",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","U","123","3.75229","unknown","unknown",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","U","102","3.11165","unknown","unknown",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Female","U","75","2.28798","unknown","unknown",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Female","U","17","0.518609","unknown","unknown",""
"Fibroblast","kidney_l3","CL:0000057","Female","U","169","5.15558","unknown","unknown",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Female","U","67","2.04393","unknown","unknown",""
"Intercalated Type B","kidney_l3","CL:0002201","Female","U","18","0.549115","unknown","unknown",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","U","16","0.488103","unknown","unknown",""
"Macula Densa","kidney_l3","CL:1000850","Female","U","39","1.18975","unknown","unknown",""
"Mast","kidney_l3","CL:0000097","Female","U","5","0.152532","unknown","unknown",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Female","U","138","4.20988","unknown","unknown",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Female","U","206","6.28432","unknown","unknown",""
"Mesangial","kidney_l3","CL:0000650","Female","U","22","0.671141","unknown","unknown",""
"Monocyte","kidney_l3","","Female","U","11","0.33557","unknown","unknown",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","U","52","1.58633","unknown","unknown",""
"Natural Killer / Natural Killer T","kidney_l3","","Female","U","13","0.396583","unknown","unknown",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Female","U","49","1.49481","unknown","unknown",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Female","U","13","0.396583","unknown","unknown",""
"Parietal Epithelial","kidney_l3","CL:1000452","Female","U","11","0.33557","unknown","unknown",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","U","233","7.10799","unknown","unknown",""
"Podocyte","kidney_l3","CL:0000653","Female","U","93","2.8371","unknown","unknown",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Female","U","175","5.33862","unknown","unknown",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Female","U","5","0.152532","unknown","unknown",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Female","U","151","4.60647","unknown","unknown",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Female","U","2","0.0610128","unknown","unknown",""
"Schwann / Neural","kidney_l3","CL:0002573","Female","U","3","0.0915192","unknown","unknown",""
"T","kidney_l3","CL:000084","Female","U","46","1.40329","unknown","unknown",""
"Tissue-resident Macrophage","kidney_l3","","Female","U","67","2.04393","unknown","unknown",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","U","94","2.8676","unknown","unknown",""
