"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",7
"2","Ascending Thin Limb",36
"3","Ascending Vasa Recta Endothelial",21
"4","B",2
"5","Connecting Tubule",1029
"6","Connecting Tubule Principal",3
"7","Cortical Collecting Duct Intercalated Type A",19
"8","Cortical Collecting Duct Principal",67
"9","Cortical Thick Ascending Limb",568
"10","Cortical Vascular Smooth Muscle / Pericyte",4
"11","Descending Thin Limb Type 1",338
"12","Descending Thin Limb Type 2",3
"13","Descending Thin Limb Type 3",2
"14","Descending Vasa Recta Endothelial ",27
"15","Distal Convoluted Tubule Type 1",271
"16","Fibroblast",29
"17","Glomerular Capillary Endothelial",7
"18","Inner Medullary Collecting Duct",82
"19","Intercalated Type B",1
"20","Macula Densa",81
"21","Medullary Fibroblast",26
"22","Medullary Thick Ascending Limb",294
"23","Mesangial",1
"24","Outer Medullary Collecting Duct Intercalated Type A",9
"25","Outer Medullary Collecting Duct Principal",9
"26","Parietal Epithelial",3
"27","Peritubular Capilary Endothelial ",34
"28","Plasma",1
"29","Proximal Tubule Epithelial Segment 1",2
"30","T",2
"31","Vascular Smooth Muscle / Pericyte",16
