"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",1
"2","Ascending Thin Limb",8
"3","Ascending Vasa Recta Endothelial",1
"4","B",1
"5","Connecting Tubule",1459
"6","Connecting Tubule Principal",98
"7","Cortical Collecting Duct Intercalated Type A",142
"8","Cortical Collecting Duct Principal",94
"9","Cortical Thick Ascending Limb",79
"10","Descending Thin Limb Type 1",894
"11","Descending Thin Limb Type 2",167
"12","Descending Thin Limb Type 3",4
"13","Descending Vasa Recta Endothelial ",1
"14","Distal Convoluted Tubule Type 1",784
"15","Fibroblast",45
"16","Glomerular Capillary Endothelial",8
"17","Inner Medullary Collecting Duct",761
"18","Intercalated Type B",93
"19","M2 Macrophage",66
"20","Macula Densa",22
"21","Medullary Fibroblast",2
"22","Medullary Thick Ascending Limb",264
"23","Monocyte-derived",4
"24","Outer Medullary Collecting Duct Intercalated Type A",4
"25","Outer Medullary Collecting Duct Principal",15
"26","Parietal Epithelial",1
"27","Peritubular Capilary Endothelial ",134
"28","Plasma",5
"29","Plasmacytoid Dendritic",1
"30","Podocyte",30
"31","Proximal Tubule Epithelial Segment 1",509
"32","Proximal Tubule Epithelial Segment 2",1
"33","Proximal Tubule Epithelial Segment 3",363
"34","T",157
"35","Vascular Smooth Muscle / Pericyte",10
