"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","3","0.0660066","upper pole","left","120.171"
"Ascending Thin Limb","kidney_l3","CL:1001107","Male","W","2","0.0440044","upper pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","W","8","0.176018","upper pole","left",""
"B","kidney_l3","CL:0000785","Male","W","93","2.0462","upper pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Male","W","10","0.220022","upper pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","244","5.36854","upper pole","left",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Male","W","6","0.132013","upper pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","W","79","1.73817","upper pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","310","6.82068","upper pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","214","4.70847","upper pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","671","14.7635","upper pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","2","0.0440044","upper pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Male","W","4","0.0880088","upper pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Male","W","6","0.132013","upper pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","W","3","0.0660066","upper pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","9","0.19802","upper pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","W","248","5.45655","upper pole","left",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Male","W","32","0.70407","upper pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Male","W","152","3.34433","upper pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","W","74","1.62816","upper pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","W","97","2.13421","upper pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Male","W","13","0.286029","upper pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Male","W","323","7.10671","upper pole","left",""
"Mast","kidney_l3","CL:0000097","Male","W","7","0.154015","upper pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","21","0.462046","upper pole","left",""
"Mesangial","kidney_l3","CL:0000650","Male","W","4","0.0880088","upper pole","left",""
"Monocyte","kidney_l3","","Male","W","12","0.264026","upper pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","132","2.90429","upper pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","18","0.39604","upper pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Male","W","3","0.0660066","upper pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Male","W","2","0.0440044","upper pole","left",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Male","W","2","0.0440044","upper pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Male","W","28","0.616062","upper pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","74","1.62816","upper pole","left",""
"Plasma","kidney_l3","CL:0000786","Male","W","21","0.462046","upper pole","left",""
"Plasmacytoid Dendritic","kidney_l3","CL:0000784","Male","W","15","0.330033","upper pole","left",""
"Podocyte","kidney_l3","CL:0000653","Male","W","99","2.17822","upper pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","W","651","14.3234","upper pole","left",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Male","W","136","2.9923","upper pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","264","5.80858","upper pole","left",""
"T","kidney_l3","CL:000084","Male","W","317","6.9747","upper pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","128","2.81628","upper pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","8","0.176018","upper pole","left",""
