"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","32","0.651068","lower pole","left","63.486"
"Ascending Thin Limb","kidney_l3","CL:1001107","Male","W","1","0.0203459","lower pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","W","263","5.35097","lower pole","left",""
"B","kidney_l3","CL:0000785","Male","W","2","0.0406918","lower pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","12","0.244151","lower pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","W","16","0.325534","lower pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","39","0.793489","lower pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","18","0.366226","lower pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","409","8.32146","lower pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","5","0.101729","lower pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Male","W","1","0.0203459","lower pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Male","W","404","8.21974","lower pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","W","358","7.28383","lower pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","324","6.59207","lower pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","W","12","0.244151","lower pole","left",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Male","W","2","0.0406918","lower pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Male","W","63","1.28179","lower pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","W","15","0.305188","lower pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Male","W","2","0.0406918","lower pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","W","3","0.0610376","lower pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Male","W","11","0.223805","lower pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Male","W","10","0.203459","lower pole","left",""
"Mast","kidney_l3","CL:0000097","Male","W","1","0.0203459","lower pole","left",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Male","W","206","4.19125","lower pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","1597","32.4924","lower pole","left",""
"Mesangial","kidney_l3","CL:0000650","Male","W","2","0.0406918","lower pole","left",""
"Monocyte","kidney_l3","","Male","W","6","0.122075","lower pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","16","0.325534","lower pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","5","0.101729","lower pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Male","W","86","1.74975","lower pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Male","W","495","10.0712","lower pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Male","W","8","0.162767","lower pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","104","2.11597","lower pole","left",""
"Plasma","kidney_l3","CL:0000786","Male","W","1","0.0203459","lower pole","left",""
"Podocyte","kidney_l3","CL:0000653","Male","W","9","0.183113","lower pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","W","38","0.773143","lower pole","left",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Male","W","2","0.0406918","lower pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","185","3.76399","lower pole","left",""
"Schwann / Neural","kidney_l3","CL:0002573","Male","W","4","0.0813835","lower pole","left",""
"T","kidney_l3","CL:000084","Male","W","8","0.162767","lower pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","28","0.569685","lower pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","112","2.27874","lower pole","left",""
