"","cell_type","count"
"1","Connecting Tubule",2692
"2","Cortical Collecting Duct Principal",1
"3","Cortical Vascular Smooth Muscle / Pericyte",21
"4","Descending Thin Limb Type 1",1615
"5","Fibroblast",502
"6","Inner Medullary Collecting Duct",8556
"7","Lymphatic Endothelial",15
"8","M2 Macrophage",370
"9","Medullary Fibroblast",535
"10","Mesangial",3
"11","Non-classical monocyte",1
"12","Papillary Tip Epithelial",1671
"13","Parietal Epithelial",1
"14","Peritubular Capilary Endothelial ",8
"15","Vascular Smooth Muscle / Pericyte",2
