"","cell_type","count"
"1","Afferent / Efferent Arteriole Endothelial",39
"2","Ascending Thin Limb",2147
"3","Ascending Vasa Recta Endothelial",169
"4","B",24
"5","Connecting Tubule",6050
"6","Connecting Tubule Principal",52
"7","Cortical Collecting Duct Intercalated Type A",776
"8","Cortical Collecting Duct Principal",2020
"9","Cortical Thick Ascending Limb",1479
"10","Cortical Vascular Smooth Muscle / Pericyte",20
"11","Descending Thin Limb Type 1",20858
"12","Descending Thin Limb Type 2",9573
"13","Descending Thin Limb Type 3",380
"14","Descending Vasa Recta Endothelial ",151
"15","Distal Convoluted Tubule Type 1",7564
"16","Fibroblast",1154
"17","Glomerular Capillary Endothelial",1
"18","Inner Medullary Collecting Duct",31508
"19","Intercalated Type B",482
"20","Lymphatic Endothelial",63
"21","M2 Macrophage",129
"22","Macula Densa",467
"23","Mast",64
"24","Medullary Fibroblast",439
"25","Medullary Thick Ascending Limb",7337
"26","Mesangial",67
"27","Monocyte-derived",2
"28","Outer Medullary Collecting Duct Intercalated Type A",23
"29","Outer Medullary Collecting Duct Principal",4159
"30","Parietal Epithelial",2029
"31","Peritubular Capilary Endothelial ",876
"32","Podocyte",90
"33","Proximal Tubule Epithelial Segment 1",44
"34","Proximal Tubule Epithelial Segment 2",4
"35","Proximal Tubule Epithelial Segment 3",291
"36","Renin-positive Juxtaglomerular Granular",9
"37","T",149
"38","Vascular Smooth Muscle / Pericyte",104
