"","cell_type","count"
"1","B",1
"2","Connecting Tubule",1659
"3","Connecting Tubule Principal",1
"4","Cortical Collecting Duct Principal",4
"5","Cortical Vascular Smooth Muscle / Pericyte",66
"6","Descending Thin Limb Type 1",3945
"7","Descending Vasa Recta Endothelial ",3
"8","Fibroblast",644
"9","Inner Medullary Collecting Duct",12386
"10","Lymphatic Endothelial",15
"11","M2 Macrophage",151
"12","Medullary Fibroblast",703
"13","Monocyte-derived",2
"14","Non-classical monocyte",2
"15","Papillary Tip Epithelial",917
"16","Parietal Epithelial",2
"17","Peritubular Capilary Endothelial ",1
"18","Proximal Tubule Epithelial Segment 1",1
"19","Proximal Tubule Epithelial Segment 3",1
"20","Schwann / Neural",2
"21","Vascular Smooth Muscle / Pericyte",493
