"","cell_type","count"
"1","Connecting Tubule",2614
"2","Cortical Collecting Duct Principal",43
"3","Cortical Vascular Smooth Muscle / Pericyte",53
"4","Descending Thin Limb Type 1",2006
"5","Descending Thin Limb Type 3",1
"6","Descending Vasa Recta Endothelial ",1
"7","Fibroblast",563
"8","Inner Medullary Collecting Duct",5816
"9","M2 Macrophage",64
"10","Medullary Fibroblast",555
"11","Medullary Thick Ascending Limb",1
"12","Mesangial",2
"13","Papillary Tip Epithelial",166
"14","Parietal Epithelial",3
"15","Peritubular Capilary Endothelial ",4
"16","Podocyte",1
"17","Proximal Tubule Epithelial Segment 1",1
"18","Vascular Smooth Muscle / Pericyte",106
