"","cell_type","count"
"1","Ascending Thin Limb",5
"2","Ascending Vasa Recta Endothelial",1
"3","Connecting Tubule",2494
"4","Connecting Tubule Principal",4
"5","Cortical Collecting Duct Intercalated Type A",260
"6","Cortical Collecting Duct Principal",14
"7","Cortical Thick Ascending Limb",218
"8","Cortical Vascular Smooth Muscle / Pericyte",50
"9","Descending Thin Limb Type 1",386
"10","Descending Thin Limb Type 2",212
"11","Descending Thin Limb Type 3",25
"12","Distal Convoluted Tubule Type 1",392
"13","Distal Convoluted Tubule Type 2",5
"14","Fibroblast",179
"15","Glomerular Capillary Endothelial",73
"16","Inner Medullary Collecting Duct",1597
"17","Intercalated Type B",3
"18","M2 Macrophage",60
"19","Macula Densa",67
"20","Medullary Fibroblast",19
"21","Medullary Thick Ascending Limb",865
"22","Mesangial",2
"23","Monocyte-derived",7
"24","Neutrophil",4
"25","Outer Medullary Collecting Duct Principal",9
"26","Peritubular Capilary Endothelial ",185
"27","Podocyte",48
"28","Proximal Tubule Epithelial Segment 1",344
"29","Proximal Tubule Epithelial Segment 2",3
"30","Proximal Tubule Epithelial Segment 3",172
"31","Vascular Smooth Muscle / Pericyte",39
