"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","22","0.500911","upper pole","left","120.171"
"Ascending Thin Limb","kidney_l3","CL:1001107","Male","W","1","0.0227687","upper pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","W","12","0.273224","upper pole","left",""
"B","kidney_l3","CL:0000785","Male","W","34","0.774135","upper pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Male","W","12","0.273224","upper pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","342","7.78689","upper pole","left",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Male","W","4","0.0910747","upper pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","W","108","2.45902","upper pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","356","8.10565","upper pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","248","5.64663","upper pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","546","12.4317","upper pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","87","1.98087","upper pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Male","W","4","0.0910747","upper pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Male","W","5","0.113843","upper pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","W","3","0.068306","upper pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","29","0.660291","upper pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","W","185","4.2122","upper pole","left",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Male","W","27","0.614754","upper pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Male","W","236","5.37341","upper pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","W","109","2.48179","upper pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Male","W","1","0.0227687","upper pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","W","67","1.5255","upper pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Male","W","10","0.227687","upper pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Male","W","173","3.93898","upper pole","left",""
"Mast","kidney_l3","CL:0000097","Male","W","11","0.250455","upper pole","left",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Male","W","2","0.0455373","upper pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","21","0.478142","upper pole","left",""
"Mesangial","kidney_l3","CL:0000650","Male","W","32","0.728597","upper pole","left",""
"Monocyte","kidney_l3","","Male","W","14","0.318761","upper pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","87","1.98087","upper pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","9","0.204918","upper pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Male","W","17","0.387067","upper pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Male","W","6","0.136612","upper pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Male","W","3","0.068306","upper pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Male","W","38","0.865209","upper pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","205","4.66758","upper pole","left",""
"Plasma","kidney_l3","CL:0000786","Male","W","16","0.364299","upper pole","left",""
"Plasmacytoid Dendritic","kidney_l3","CL:0000784","Male","W","2","0.0455373","upper pole","left",""
"Podocyte","kidney_l3","CL:0000653","Male","W","63","1.43443","upper pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","W","506","11.5209","upper pole","left",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Male","W","242","5.51002","upper pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","255","5.80601","upper pole","left",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Male","W","4","0.0910747","upper pole","left",""
"Schwann / Neural","kidney_l3","CL:0002573","Male","W","7","0.159381","upper pole","left",""
"T","kidney_l3","CL:000084","Male","W","106","2.41348","upper pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","89","2.02641","upper pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","36","0.819672","upper pole","left",""
