"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","W","5","0.715308","upper pole","left","84.75"
"Ascending Thin Limb","kidney_l3","CL:1001107","Female","W","26","3.7196","upper pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Female","W","51","7.29614","upper pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Female","W","1","0.143062","upper pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","W","9","1.28755","upper pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","W","3","0.429185","upper pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","W","11","1.57368","upper pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","W","2","0.286123","upper pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","W","55","7.86838","upper pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","W","16","2.28898","upper pole","left",""
"Descending Thin Limb Type 3","kidney_l3","CL:1001111","Female","W","56","8.01144","upper pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","W","25","3.57654","upper pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Female","W","2","0.286123","upper pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Female","W","1","0.143062","upper pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Female","W","144","20.6009","upper pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","W","2","0.286123","upper pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Female","W","1","0.143062","upper pole","left",""
"Mast","kidney_l3","CL:0000097","Female","W","19","2.71817","upper pole","left",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Female","W","88","12.5894","upper pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Female","W","3","0.429185","upper pole","left",""
"Monocyte","kidney_l3","","Female","W","1","0.143062","upper pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","W","11","1.57368","upper pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Female","W","4","0.572246","upper pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Female","W","3","0.429185","upper pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Female","W","45","6.43777","upper pole","left",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Female","W","28","4.00572","upper pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","W","23","3.29041","upper pole","left",""
"Plasma","kidney_l3","CL:0000786","Female","W","3","0.429185","upper pole","left",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Female","W","1","0.143062","upper pole","left",""
"T","kidney_l3","CL:000084","Female","W","27","3.86266","upper pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Female","W","11","1.57368","upper pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","22","3.14735","upper pole","left",""
