"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","W","5","0.125849","lower pole","left","45.294"
"Ascending Thin Limb","kidney_l3","CL:1001107","Female","W","446","11.2258","lower pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Female","W","388","9.76592","lower pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Female","W","1","0.0251699","lower pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","W","14","0.352379","lower pole","left",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Female","W","1","0.0251699","lower pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","W","5","0.125849","lower pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Female","W","2","0.0503398","lower pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","W","10","0.251699","lower pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","W","2","0.0503398","lower pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Female","W","1","0.0251699","lower pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","W","13","0.327209","lower pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","W","5","0.125849","lower pole","left",""
"Descending Thin Limb Type 3","kidney_l3","CL:1001111","Female","W","319","8.0292","lower pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","W","46","1.15782","lower pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Female","W","1893","47.6466","lower pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Female","W","1","0.0251699","lower pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","W","3","0.0755097","lower pole","left",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Female","W","556","13.9945","lower pole","left",""
"Monocyte","kidney_l3","","Female","W","5","0.125849","lower pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","W","44","1.10748","lower pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Female","W","10","0.251699","lower pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Female","W","3","0.0755097","lower pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Female","W","23","0.578908","lower pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Female","W","24","0.604078","lower pole","left",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Female","W","10","0.251699","lower pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","W","9","0.226529","lower pole","left",""
"Plasma","kidney_l3","CL:0000786","Female","W","1","0.0251699","lower pole","left",""
"Podocyte","kidney_l3","CL:0000653","Female","W","2","0.0503398","lower pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Female","W","1","0.0251699","lower pole","left",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Female","W","1","0.0251699","lower pole","left",""
"Schwann / Neural","kidney_l3","CL:0002573","Female","W","2","0.0503398","lower pole","left",""
"T","kidney_l3","CL:000084","Female","W","29","0.729927","lower pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Female","W","67","1.68638","lower pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","31","0.780267","lower pole","left",""
