"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","U","32","0.679694","unknown","unknown",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","U","5","0.106202","unknown","unknown",""
"B","kidney_l3","CL:0000785","Male","U","13","0.276126","unknown","unknown",""
"Classical Dendritic","kidney_l3","CL:0000451","Male","U","5","0.106202","unknown","unknown",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","U","332","7.05183","unknown","unknown",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Male","U","13","0.276126","unknown","unknown",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Male","U","82","1.74172","unknown","unknown",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","U","296","6.28717","unknown","unknown",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","U","70","1.48683","unknown","unknown",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","U","88","1.86916","unknown","unknown",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","U","117","2.48513","unknown","unknown",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Male","U","2","0.0424809","unknown","unknown",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","U","3","0.0637213","unknown","unknown",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","U","27","0.573492","unknown","unknown",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","U","318","6.75446","unknown","unknown",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Male","U","19","0.403568","unknown","unknown",""
"Fibroblast","kidney_l3","CL:0000057","Male","U","677","14.3798","unknown","unknown",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Male","U","249","5.28887","unknown","unknown",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","U","80","1.69924","unknown","unknown",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Male","U","3","0.0637213","unknown","unknown",""
"Macula Densa","kidney_l3","CL:1000850","Male","U","62","1.31691","unknown","unknown",""
"Mast","kidney_l3","CL:0000097","Male","U","8","0.169924","unknown","unknown",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Male","U","2","0.0424809","unknown","unknown",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","U","2","0.0424809","unknown","unknown",""
"Mesangial","kidney_l3","CL:0000650","Male","U","61","1.29567","unknown","unknown",""
"Monocyte","kidney_l3","","Male","U","46","0.97706","unknown","unknown",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","U","115","2.44265","unknown","unknown",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","U","65","1.38063","unknown","unknown",""
"Neutrophil","kidney_l3","CL:0000775","Male","U","3","0.0637213","unknown","unknown",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Male","U","4","0.0849618","unknown","unknown",""
"Parietal Epithelial","kidney_l3","CL:1000452","Male","U","129","2.74002","unknown","unknown",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","U","632","13.424","unknown","unknown",""
"Plasma","kidney_l3","CL:0000786","Male","U","3","0.0637213","unknown","unknown",""
"Plasmacytoid Dendritic","kidney_l3","CL:0000784","Male","U","1","0.0212404","unknown","unknown",""
"Podocyte","kidney_l3","CL:0000653","Male","U","167","3.54715","unknown","unknown",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Male","U","153","3.24979","unknown","unknown",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Male","U","75","1.59303","unknown","unknown",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","U","59","1.25319","unknown","unknown",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Male","U","8","0.169924","unknown","unknown",""
"Schwann / Neural","kidney_l3","CL:0002573","Male","U","2","0.0424809","unknown","unknown",""
"T","kidney_l3","CL:000084","Male","U","194","4.12065","unknown","unknown",""
"Tissue-resident Macrophage","kidney_l3","","Male","U","198","4.20561","unknown","unknown",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","U","288","6.11725","unknown","unknown",""
