"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Ascending Thin Limb","kidney_l3","CL:1001107","Male","W","23","13.7725","lower pole","right","36.406"
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","W","4","2.39521","lower pole","right",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","1","0.598802","lower pole","right",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","1","0.598802","lower pole","right",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","8","4.79042","lower pole","right",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Male","W","10","5.98802","lower pole","right",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","W","5","2.99401","lower pole","right",""
"Descending Thin Limb Type 3","kidney_l3","CL:1001111","Male","W","15","8.98204","lower pole","right",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","3","1.79641","lower pole","right",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Male","W","51","30.5389","lower pole","right",""
"Intercalated Type B","kidney_l3","CL:0002201","Male","W","1","0.598802","lower pole","right",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Male","W","31","18.5629","lower pole","right",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","2","1.1976","lower pole","right",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","1","0.598802","lower pole","right",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Male","W","4","2.39521","lower pole","right",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Male","W","1","0.598802","lower pole","right",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","2","1.1976","lower pole","right",""
"Plasma","kidney_l3","CL:0000786","Male","W","1","0.598802","lower pole","right",""
"T","kidney_l3","CL:000084","Male","W","1","0.598802","lower pole","right",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","2","1.1976","lower pole","right",""
