"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","U","20","0.551572","unknown","unknown",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Female","U","2","0.0551572","unknown","unknown",""
"B","kidney_l3","CL:0000785","Female","U","11","0.303365","unknown","unknown",""
"Classical Dendritic","kidney_l3","CL:0000451","Female","U","2","0.0551572","unknown","unknown",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","U","179","4.93657","unknown","unknown",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Female","U","29","0.799779","unknown","unknown",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","U","69","1.90292","unknown","unknown",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Female","U","269","7.41864","unknown","unknown",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","U","303","8.35632","unknown","unknown",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","U","400","11.0314","unknown","unknown",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","U","91","2.50965","unknown","unknown",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Female","U","5","0.137893","unknown","unknown",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","U","1","0.0275786","unknown","unknown",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","U","2","0.0551572","unknown","unknown",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","U","14","0.3861","unknown","unknown",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Female","U","427","11.7761","unknown","unknown",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Female","U","11","0.303365","unknown","unknown",""
"Fibroblast","kidney_l3","CL:0000057","Female","U","188","5.18478","unknown","unknown",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Female","U","125","3.44732","unknown","unknown",""
"Intercalated Type B","kidney_l3","CL:0002201","Female","U","113","3.11638","unknown","unknown",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","U","11","0.303365","unknown","unknown",""
"Macula Densa","kidney_l3","CL:1000850","Female","U","27","0.744622","unknown","unknown",""
"Mast","kidney_l3","CL:0000097","Female","U","5","0.137893","unknown","unknown",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Female","U","1","0.0275786","unknown","unknown",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Female","U","6","0.165472","unknown","unknown",""
"Mesangial","kidney_l3","CL:0000650","Female","U","30","0.827358","unknown","unknown",""
"Monocyte","kidney_l3","","Female","U","19","0.523993","unknown","unknown",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","U","41","1.13072","unknown","unknown",""
"Natural Killer / Natural Killer T","kidney_l3","","Female","U","14","0.3861","unknown","unknown",""
"Neutrophil","kidney_l3","CL:0000775","Female","U","10","0.275786","unknown","unknown",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Female","U","1","0.0275786","unknown","unknown",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Female","U","6","0.165472","unknown","unknown",""
"Parietal Epithelial","kidney_l3","CL:1000452","Female","U","55","1.51682","unknown","unknown",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","U","428","11.8036","unknown","unknown",""
"Plasma","kidney_l3","CL:0000786","Female","U","2","0.0551572","unknown","unknown",""
"Podocyte","kidney_l3","CL:0000653","Female","U","86","2.37176","unknown","unknown",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Female","U","134","3.69553","unknown","unknown",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Female","U","49","1.35135","unknown","unknown",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Female","U","218","6.01213","unknown","unknown",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Female","U","9","0.248207","unknown","unknown",""
"Schwann / Neural","kidney_l3","CL:0002573","Female","U","3","0.0827358","unknown","unknown",""
"T","kidney_l3","CL:000084","Female","U","54","1.48924","unknown","unknown",""
"Tissue-resident Macrophage","kidney_l3","","Female","U","94","2.59239","unknown","unknown",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","U","62","1.70987","unknown","unknown",""
