"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Female","W","7","0.183679","lower pole","left","20.114"
"B","kidney_l3","CL:0000785","Female","W","48","1.25951","lower pole","left",""
"Classical Dendritic","kidney_l3","CL:0000451","Female","W","12","0.314878","lower pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Female","W","199","5.22173","lower pole","left",""
"Connecting Tubule Intercalated Type A","kidney_l3","CL:0005011","Female","W","2","0.0524797","lower pole","left",""
"Connecting Tubule Principal","kidney_l3","CL:1001431","Female","W","161","4.22461","lower pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Female","W","289","7.58331","lower pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Female","W","284","7.45211","lower pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Female","W","227","5.95644","lower pole","left",""
"Cortical Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","8","0.209919","lower pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Female","W","3","0.0787195","lower pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Female","W","5","0.131199","lower pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Female","W","2","0.0524797","lower pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Female","W","3","0.0787195","lower pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Female","W","343","9.00026","lower pole","left",""
"Distal Convoluted Tubule Type 2","kidney_l3","CL:1000849","Female","W","12","0.314878","lower pole","left",""
"Fibroblast","kidney_l3","CL:0000057","Female","W","86","2.25663","lower pole","left",""
"Glomerular Capillary Endothelial","kidney_l3","CL:1001005","Female","W","87","2.28287","lower pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Female","W","4","0.104959","lower pole","left",""
"Intercalated Type B","kidney_l3","CL:0002201","Female","W","168","4.40829","lower pole","left",""
"Lymphatic Endothelial","kidney_l3","CL:0002138","Female","W","24","0.629756","lower pole","left",""
"Macula Densa","kidney_l3","CL:1000850","Female","W","79","2.07295","lower pole","left",""
"Mast","kidney_l3","CL:0000097","Female","W","26","0.682236","lower pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Female","W","1","0.0262398","lower pole","left",""
"Mesangial","kidney_l3","CL:0000650","Female","W","13","0.341118","lower pole","left",""
"Monocyte","kidney_l3","","Female","W","4","0.104959","lower pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Female","W","51","1.33823","lower pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Female","W","16","0.419837","lower pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Female","W","2","0.0524797","lower pole","left",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Female","W","1","0.0262398","lower pole","left",""
"Parietal Epithelial","kidney_l3","CL:1000452","Female","W","45","1.18079","lower pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Female","W","159","4.17213","lower pole","left",""
"Plasma","kidney_l3","CL:0000786","Female","W","15","0.393597","lower pole","left",""
"Plasmacytoid Dendritic","kidney_l3","CL:0000784","Female","W","11","0.288638","lower pole","left",""
"Podocyte","kidney_l3","CL:0000653","Female","W","93","2.4403","lower pole","left",""
"Proximal Tubule Epithelial Segment 1","kidney_l3","CL:0002306","Female","W","633","16.6098","lower pole","left",""
"Proximal Tubule Epithelial Segment 2","kidney_l3","CL:0002306","Female","W","89","2.33535","lower pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Female","W","227","5.95644","lower pole","left",""
"Schwann / Neural","kidney_l3","CL:0002573","Female","W","4","0.104959","lower pole","left",""
"T","kidney_l3","CL:000084","Female","W","253","6.63868","lower pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Female","W","97","2.54526","lower pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Female","W","18","0.472317","lower pole","left",""
