"cell_type","annotation_level","cell_type_ontology_term_id","sex","race","count","percentage","location","laterality","y_pos"
"Afferent / Efferent Arteriole Endothelial","kidney_l3","CL:1001096","Male","W","20","0.433839","lower pole","left","65.904"
"Ascending Thin Limb","kidney_l3","CL:1001107","Male","W","605","13.1236","lower pole","left",""
"Ascending Vasa Recta Endothelial","kidney_l3","CL:1001131","Male","W","467","10.1302","lower pole","left",""
"Connecting Tubule","kidney_l3","CL:1000768","Male","W","1","0.021692","lower pole","left",""
"Cortical Collecting Duct Intercalated Type A","kidney_l3","CL:0005011","Male","W","5","0.10846","lower pole","left",""
"Cortical Collecting Duct Principal","kidney_l3","CL:1001431","Male","W","1","0.021692","lower pole","left",""
"Cortical Thick Ascending Limb","kidney_l3","","Male","W","2","0.0433839","lower pole","left",""
"Cycling Mononuclear Phagocyte","kidney_l3","CL:0000113","Male","W","3","0.0650759","lower pole","left",""
"Descending Thin Limb Type 1","kidney_l3","CL:1001111","Male","W","10","0.21692","lower pole","left",""
"Descending Thin Limb Type 2","kidney_l3","CL:1001111","Male","W","36","0.780911","lower pole","left",""
"Descending Thin Limb Type 3","kidney_l3","CL:1001111","Male","W","477","10.3471","lower pole","left",""
"Descending Vasa Recta Endothelial","kidney_l3","CL:1001285","Male","W","277","6.00868","lower pole","left",""
"Distal Convoluted Tubule Type 1","kidney_l3","CL:1000849","Male","W","1","0.021692","lower pole","left",""
"Inner Medullary Collecting Duct","kidney_l3","CL:1000547","Male","W","797","17.2885","lower pole","left",""
"Medullary Fibroblast","kidney_l3","CL:0000057","Male","W","1507","32.6898","lower pole","left",""
"Medullary Thick Ascending Limb","kidney_l3","CL:1001108","Male","W","8","0.173536","lower pole","left",""
"Monocyte","kidney_l3","","Male","W","7","0.151844","lower pole","left",""
"Monocyte-derived","kidney_l3","CL:0000576","Male","W","63","1.36659","lower pole","left",""
"Natural Killer / Natural Killer T","kidney_l3","","Male","W","4","0.0867679","lower pole","left",""
"Neutrophil","kidney_l3","CL:0000775","Male","W","3","0.0650759","lower pole","left",""
"Outer Medullary Collecting Duct Intercalated Type A","kidney_l3","CL:1000717","Male","W","22","0.477223","lower pole","left",""
"Outer Medullary Collecting Duct Principal","kidney_l3","CL:1000716","Male","W","14","0.303688","lower pole","left",""
"Papillary Tip Epithelial","kidney_l3","CL:1000597","Male","W","59","1.27983","lower pole","left",""
"Peritubular Capilary Endothelial","kidney_l3","CL:1001033","Male","W","4","0.0867679","lower pole","left",""
"Podocyte","kidney_l3","CL:0000653","Male","W","4","0.0867679","lower pole","left",""
"Proximal Tubule Epithelial Segment 3","kidney_l3","CL:0002306","Male","W","1","0.021692","lower pole","left",""
"Renin-positive Juxtaglomerular Granular","kidney_l3","CL:0000648","Male","W","1","0.021692","lower pole","left",""
"T","kidney_l3","CL:000084","Male","W","23","0.498915","lower pole","left",""
"Tissue-resident Macrophage","kidney_l3","","Male","W","87","1.8872","lower pole","left",""
"Vascular Smooth Muscle / Pericyte","kidney_l3","CL:0000359","Male","W","101","2.19089","lower pole","left",""
