,dataset_id,dataset_name
0,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
1,da72e8fd-808c-498b-9d43-898986930ee0,Paediatric Human Gut (4-14y)
2,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
3,749c4f7c-90d0-4dff-9f43-f5c41263f9e6,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics
4,749c4f7c-90d0-4dff-9f43-f5c41263f9e6,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics
5,749c4f7c-90d0-4dff-9f43-f5c41263f9e6,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics
6,6895b206-4c1f-4859-9401-65a4c78cd5b0,Fetal Human Gut (6-11 PCW)
7,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
8,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
9,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
10,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
11,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
12,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
13,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
14,da72e8fd-808c-498b-9d43-898986930ee0,Paediatric Human Gut (4-14y)
15,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
16,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
17,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
18,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
19,8e992af9-bc05-48fe-888b-76e888eb4de5,Spatiotemporal analysis of human intestinal development at single-cell resolution: All cells
20,da72e8fd-808c-498b-9d43-898986930ee0,Paediatric Human Gut (4-14y)
21,ecfa4a1d-560f-4d7a-8e39-b232c13c543e,Global
