"","cell_type","count","percentage"
"1","Afferent / Efferent Arteriole Endothelial",341,0.52710494180205
"2","Ascending Thin Limb",1765,2.72827044657073
"3","Ascending Vasa Recta Endothelial",2527,3.9061413135888
"4","B",331,0.511647318875303
"5","Classical Dendritic",57,0.0881084506824541
"6","Connecting Tubule",3138,4.850602074413
"7","Cortical Collecting Duct Intercalated Type A",2661,4.1132734608072
"8","Cortical Collecting Duct Principal",2281,3.52588378959084
"9","Cortical Thick Ascending Limb",4205,6.49993044069683
"10","Cortical Vascular Smooth Muscle / Pericyte",457,0.706413367752307
"11","Cycling Mononuclear Phagocyte",47,0.0726508277557077
"12","Descending Thin Limb Type 1",1524,2.35574173403614
"13","Descending Thin Limb Type 2",901,1.39273182569984
"14","Descending Thin Limb Type 3",1392,2.15170111140309
"15","Descending Vasa Recta Endothelial ",1838,2.84111109393597
"16","Distal Convoluted Tubule",3718,5.74714420416428
"17","Fibroblast",1851,2.86120600374074
"18","Glomerular Capillary Endothelial",1041,1.60913854667429
"19","Inner Medullary Collecting Duct",4095,6.32989658850262
"20","Intercalated Type B",768,1.18714544077412
"21","Lymphatic Endothelial",123,0.19012876199898
"22","M2 Macrophage",1263,1.95229777564806
"23","Macula Densa",1045,1.61532159584499
"24","Mast",109,0.168488089901535
"25","Medullary Fibroblast",4587,7.09041163649854
"26","Medullary Thick Ascending Limb",4160,6.43037113752647
"27","Mesangial",200,0.309152458534927
"28","Monocyte-derived",803,1.24124712101773
"29","Natural Killer T",211,0.326155843754347
"30","Neutrophil",58,0.0896542129751287
"31","Non-classical monocyte",163,0.251959253705965
"32","Outer Medullary Collecting Duct Intercalated Type A",933,1.44219621906543
"33","Outer Medullary Collecting Duct Principal",894,1.38191148965112
"34","Papillary Tip Epithelial",322,0.497735458241232
"35","Parietal Epithelial",527,0.814616728239531
"36","Peritubular Capilary Endothelial ",2757,4.26166664090396
"37","Plasma",98,0.151484704682114
"38","Plasmacytoid Dendritic",31,0.0479186310729136
"39","Podocyte",1028,1.58904363686952
"40","Proximal Tubule Epithelial Segment 1",4407,6.8121744238171
"41","Proximal Tubule Epithelial Segment 2",1355,2.09450790657413
"42","Proximal Tubule Epithelial Segment 3",2068,3.19663642125114
"43","Renin-positive Juxtaglomerular Granular",34,0.0525559179509375
"44","Schwann / Neural",35,0.0541016802436121
"45","T",1341,2.07286723447668
"46","Vascular Smooth Muscle / Pericyte",1203,1.85955203808758
