cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,195,3.15126
Exc L2 LAMP5 KCNG3,18,0.290886
Exc L2 LINC00507 GLRA3,3039,49.1112
Exc L2-3 RORB CCDC68,30,0.484809
Exc L3 RORB OTOGL,2,0.0323206
Exc L3-5 RORB LNX2,128,2.06852
Exc L5 THEMIS SLC22A18,268,4.33096
Exc L5-6 FEZF2 C9orf135-AS1,91,1.47059
Exc L5-6 FEZF2 OR1L8,2,0.0323206
Exc L5-6 THEMIS SMYD1,4,0.0646412
Exc L5-6 THEMIS TNFAIP6,1,0.0161603
Exc L6 FEZF2 FFAR4,126,2.03620
Exc L6 FEZF2 PROKR2,5,0.0808016
Exc L6 THEMIS SLN,106,1.71299
Exc L6 THEMIS SNTG2,176,2.84421
Inh L1 LAMP5 BMP2,37,0.597931
Inh L1 LAMP5 NMBR,29,0.468649
Inh L1 LAMP5 RAB11FIP1,24,0.387847
Inh L1 PAX6 CHRFAM7A,94,1.51907
Inh L1 PAX6 MIR101-1,37,0.597931
Inh L1 SST DEFB108B,52,0.840336
Inh L1 SST P4HA3,9,0.145443
Inh L1-2 PVALB CDK20,12,0.193924
Inh L1-2 SST CCNJL,37,0.597931
Inh L1-2 SST CLIC6,130,2.10084
Inh L1-2 VIP PTGER3,15,0.242405
Inh L1-2 VIP WNT4,13,0.210084
Inh L1-3 SST FAM20A,152,2.45637
Inh L1-3 VIP CHRNA2,8,0.129282
Inh L1-3 VIP FNDC1,1,0.0161603
Inh L1-3 VIP HSPB6,60,0.969619
Inh L1-5 VIP CD27-AS1,11,0.177763
Inh L1-5 VIP LINC01013,17,0.274725
Inh L1-5 VIP SMOC1,96,1.55139
Inh L1-6 LAMP5 AARD,9,0.145443
Inh L1-6 LAMP5 CA1,80,1.29282
Inh L1-6 LAMP5 NES,103,1.66451
Inh L1-6 PVALB COL15A1,50,0.808016
Inh L1-6 SST NPY,21,0.339367
Inh L1-6 VIP SLC7A6OS,9,0.145443
Inh L2 PAX6 FREM2,43,0.694893
Inh L2 PVALB FRZB,5,0.0808016
Inh L2 VIP SLC6A16,14,0.226244
Inh L2-5 PVALB RPH3AL,116,1.87460
Inh L2-5 VIP BSPRY,3,0.0484809
Inh L2-5 VIP SOX11,14,0.226244
Inh L3-5 SST GGTLC3,29,0.468649
Inh L3-5 VIP IGDCC3,49,0.791855
Inh L3-5 VIP TAC3,6,0.0969619
Inh L3-6 PAX6 LINC01497,19,0.307046
Inh L3-6 VIP ZIM2-AS1,10,0.161603
Inh L5 PVALB LRIG3,1,0.0161603
Inh L5 SST RPL35AP11,12,0.193924
Inh L5-6 LAMP5 CRABP1,42,0.678733
Inh L5-6 PVALB GAPDHP60,33,0.533290
Inh L5-6 PVALB MEPE,6,0.0969619
Inh L5-6 PVALB ZFPM2-AS1,3,0.0484809
Inh L5-6 SST C4orf26,4,0.0646412
Inh L5-6 SST DNAJC14,1,0.0161603
Inh L5-6 SST ISX,6,0.0969619
Inh L5-6 VIP COL4A3,30,0.484809
Inh L6 SST TH,9,0.145443
Micro L1-6 TYROBP CD74,44,0.711054
Oligo L2-6 OPALIN FTH1P3,292,4.71881
Oligo L2-6 OPALIN MAP6D1,25,0.404008
Oligo L3-6 OPALIN ENPP6,2,0.0323206
Oligo L3-6 OPALIN LRP4-AS1,2,0.0323206
OPC L1-6 PDGFRA COL20A1,71,1.14738
