cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,22,0.283871
Astro L1-6 FGFR3 PLCG1,176,2.27097
Endo L2-5 NOSTRIN SRGN,26,0.335484
Exc L2 LINC00507 GLRA3,199,2.56774
Exc L2-3 RORB CCDC68,1,0.0129032
Exc L2-3 RORB RTKN2,6,0.0774194
Exc L3 LAMP5 CARM1P1,169,2.18065
Exc L5 FEZF2 CSN1S1,11,0.141935
Exc L5 FEZF2 PKD2L1,202,2.60645
Exc L5-6 FEZF2 IFNG-AS1,1,0.0129032
Exc L5-6 FEZF2 LPO,67,0.864516
Exc L6 FEZF2 FFAR4,284,3.66452
Exc L6 FEZF2 PDYN,1,0.0129032
Exc L6 FEZF2 PROKR2,22,0.283871
Inh L1 LAMP5 NMBR,4,0.0516129
Inh L1 PAX6 CHRFAM7A,3,0.0387097
Inh L1 PAX6 MIR101-1,6,0.0774194
Inh L1 SST DEFB108B,1,0.0129032
Inh L1 VIP KLHDC8B,5,0.0645161
Inh L1-2 VIP EXPH5,57,0.735484
Inh L1-3 SST FAM20A,9,0.116129
Inh L1-3 VIP HSPB6,10,0.129032
Inh L1-5 VIP CD27-AS1,4,0.0516129
Inh L1-5 VIP SMOC1,10,0.129032
Inh L1-6 PVALB COL15A1,5,0.0645161
Inh L1-6 SST NPY,3746,48.3355
Inh L1-6 VIP SLC7A6OS,1,0.0129032
Inh L2-5 VIP SOX11,401,5.17419
Inh L3 PVALB SAMD13,12,0.154839
Inh L3-5 PVALB ISG20,32,0.412903
Inh L3-5 SST GGTLC3,5,0.0645161
Inh L3-6 PAX6 LINC01497,38,0.490323
Inh L3-6 VIP ZIM2-AS1,32,0.412903
Inh L5 PVALB LRIG3,28,0.361290
Inh L5-6 PVALB KCNIP2,153,1.97419
Inh L5-6 PVALB ZFPM2-AS1,3,0.0387097
Inh L5-6 SST C4orf26,100,1.29032
Inh L5-6 SST DNAJC14,3,0.0387097
Inh L5-6 SST ISX,1,0.0129032
Inh L5-6 SST KLHL1,1,0.0129032
Micro L1-6 TYROBP CD74,206,2.65806
Oligo L2-6 OPALIN FTH1P3,590,7.61290
Oligo L3-6 OPALIN ENPP6,725,9.35484
Oligo L3-6 OPALIN LRP4-AS1,18,0.232258
OPC L1-6 PDGFRA COL20A1,244,3.14839
VLMC L1-5 PDGFRA COLEC12,110,1.41935
