cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,4,0.0631014
Astro L1-6 FGFR3 AQP1,25,0.394384
Astro L1-6 FGFR3 PLCG1,125,1.97192
Endo L2-5 NOSTRIN SRGN,3,0.0473261
Exc L2 LINC00507 GLRA3,1849,29.1686
Exc L2-3 RORB CCDC68,55,0.867645
Exc L2-3 RORB PTPN3,99,1.56176
Exc L2-3 RORB RTKN2,27,0.425935
Exc L3 RORB OTOGL,79,1.24625
Exc L3 THEMIS ENPEP,46,0.725667
Exc L3-5 RORB LAMA4,1,0.0157754
Exc L3-5 RORB LINC01202,480,7.57217
Exc L3-5 RORB LNX2,457,7.20934
Exc L3-5 RORB RPRM,121,1.90882
Exc L3-5 RORB TNNT2,7,0.110428
Exc L5 FEZF2 CSN1S1,17,0.268181
Exc L5 FEZF2 NREP-AS1,6,0.0946522
Exc L5 FEZF2 RNF144A-AS1,3,0.0473261
Exc L5 RORB MED8,70,1.10428
Exc L5 THEMIS FGF10,8,0.126203
Exc L5 THEMIS SLC22A18,54,0.851869
Exc L5-6 FEZF2 C9orf135-AS1,119,1.87727
Exc L5-6 FEZF2 IFNG-AS1,84,1.32513
Exc L5-6 FEZF2 OR1L8,7,0.110428
Exc L5-6 THEMIS SMYD1,69,1.08850
Exc L5-6 THEMIS TNFAIP6,45,0.709891
Exc L6 FEZF2 FFAR4,10,0.157754
Exc L6 FEZF2 KLK7,76,1.19893
Exc L6 FEZF2 POGK,11,0.173529
Exc L6 FEZF2 PROKR2,42,0.662565
Exc L6 THEMIS LINC00343,260,4.10159
Exc L6 THEMIS SLN,32,0.504811
Exc L6 THEMIS SNTG2,1,0.0157754
Inh L1 LAMP5 BMP2,14,0.220855
Inh L1 LAMP5 NMBR,23,0.362833
Inh L1 LAMP5 PVRL2,5,0.0788768
Inh L1 LAMP5 RAB11FIP1,14,0.220855
Inh L1 PAX6 CHRFAM7A,14,0.220855
Inh L1 PAX6 MIR101-1,33,0.520587
Inh L1 PVALB SST ASIC4,19,0.299732
Inh L1 SST DEFB108B,23,0.362833
Inh L1 SST P4HA3,3,0.0473261
Inh L1 VIP KLHDC8B,6,0.0946522
Inh L1-2 PVALB CDK20,15,0.236630
Inh L1-2 SST CCNJL,51,0.804543
Inh L1-2 SST CLIC6,2,0.0315507
Inh L1-2 SST PRRT4,48,0.757217
Inh L1-2 VIP EXPH5,65,1.02540
Inh L1-2 VIP PTGER3,3,0.0473261
Inh L1-2 VIP SCML4,3,0.0473261
Inh L1-3 SST FAM20A,97,1.53021
Inh L1-3 VIP CBLN1,31,0.489036
Inh L1-3 VIP CHRNA2,18,0.283956
Inh L1-3 VIP FNDC1,16,0.252406
Inh L1-3 VIP HSPB6,65,1.02540
Inh L1-5 VIP CD27-AS1,3,0.0473261
Inh L1-5 VIP LINC01013,25,0.394384
Inh L1-5 VIP SMOC1,57,0.899195
Inh L1-6 LAMP5 AARD,66,1.04117
Inh L1-6 LAMP5 CA1,22,0.347058
Inh L1-6 LAMP5 NES,29,0.457485
Inh L1-6 PVALB COL15A1,28,0.441710
Inh L1-6 SST NPY,3,0.0473261
Inh L2 PAX6 FREM2,6,0.0946522
Inh L2 VIP SLC6A16,24,0.378609
Inh L2-3 SST NMU,19,0.299732
Inh L2-5 PVALB HHIPL1,5,0.0788768
Inh L2-5 PVALB RPH3AL,222,3.50213
Inh L2-5 VIP BSPRY,3,0.0473261
Inh L2-5 VIP SOX11,5,0.0788768
Inh L3 PVALB SAMD13,9,0.141978
Inh L3-5 SST GGTLC3,100,1.57754
Inh L3-5 VIP HS3ST3A1,4,0.0631014
Inh L3-5 VIP IGDCC3,27,0.425935
Inh L3-5 VIP TAC3,11,0.173529
Inh L3-6 VIP ZIM2-AS1,2,0.0315507
Inh L5 SST RPL35AP11,38,0.599464
Inh L5-6 LAMP5 CRABP1,44,0.694116
Inh L5-6 PVALB GAPDHP60,9,0.141978
Inh L5-6 PVALB MEPE,14,0.220855
Inh L5-6 PVALB SST CRHR2,6,0.0946522
Inh L5-6 PVALB ZFPM2-AS1,14,0.220855
Inh L5-6 SST C4orf26,9,0.141978
Inh L5-6 SST KLHL1,28,0.441710
Inh L5-6 SST PAWR,5,0.0788768
Inh L5-6 VIP COL4A3,1,0.0157754
Inh L6 SST TH,10,0.157754
Micro L1-6 TYROBP CD74,81,1.27780
Oligo L2-6 OPALIN FTH1P3,392,6.18394
Oligo L2-6 OPALIN MAP6D1,13,0.205080
Oligo L3-6 OPALIN ENPP6,28,0.441710
Oligo L3-6 OPALIN LRP4-AS1,2,0.0315507
OPC L1-6 PDGFRA COL20A1,105,1.65641
VLMC L1-5 PDGFRA COLEC12,10,0.157754
