cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,97,1.99424
Exc L2 LINC00507 ATP7B,3,0.0616776
Exc L2 LINC00507 GLRA3,1641,33.7377
Exc L2-3 RORB CCDC68,52,1.06908
Exc L2-3 RORB PTPN3,59,1.21299
Exc L2-3 RORB RTKN2,14,0.287829
Exc L3 LAMP5 CARM1P1,11,0.226151
Exc L3 RORB OTOGL,116,2.38487
Exc L3 THEMIS ENPEP,56,1.15132
Exc L3-5 RORB LINC01202,352,7.23684
Exc L3-5 RORB LNX2,227,4.66694
Exc L3-5 RORB RPRM,163,3.35115
Exc L3-5 RORB TNNT2,11,0.226151
Exc L5 FEZF2 CSN1S1,8,0.164474
Exc L5 FEZF2 NREP-AS1,3,0.0616776
Exc L5 FEZF2 RNF144A-AS1,13,0.267270
Exc L5 RORB MED8,65,1.33635
Exc L5 THEMIS FGF10,3,0.0616776
Exc L5 THEMIS SLC22A18,74,1.52138
Exc L5 THEMIS VILL,2,0.0411184
Exc L5-6 FEZF2 C9orf135-AS1,45,0.925164
Exc L5-6 FEZF2 IFNG-AS1,40,0.822368
Exc L5-6 THEMIS SMYD1,85,1.74753
Exc L5-6 THEMIS TNFAIP6,21,0.431743
Exc L6 FEZF2 FFAR4,4,0.0822368
Exc L6 FEZF2 KLK7,45,0.925164
Exc L6 FEZF2 PROKR2,3,0.0616776
Exc L6 THEMIS LINC00343,108,2.22039
Exc L6 THEMIS SLN,9,0.185033
Exc L6 THEMIS SNTG2,43,0.884046
Inh L1 LAMP5 BMP2,14,0.287829
Inh L1 LAMP5 NMBR,21,0.431743
Inh L1 LAMP5 PVRL2,4,0.0822368
Inh L1 LAMP5 RAB11FIP1,27,0.555099
Inh L1 PAX6 CHRFAM7A,15,0.308388
Inh L1 PAX6 MIR101-1,2,0.0411184
Inh L1 PVALB SST ASIC4,22,0.452303
Inh L1 SST DEFB108B,23,0.472862
Inh L1 SST P4HA3,3,0.0616776
Inh L1 VIP KLHDC8B,9,0.185033
Inh L1-2 PVALB CDK20,10,0.205592
Inh L1-2 SST CCNJL,52,1.06908
Inh L1-2 SST CLIC6,1,0.0205592
Inh L1-2 SST PRRT4,41,0.842928
Inh L1-2 VIP EXPH5,58,1.19243
Inh L1-2 VIP HTR3A,1,0.0205592
Inh L1-2 VIP SCML4,15,0.308388
Inh L1-3 SST FAM20A,127,2.61102
Inh L1-3 VIP CBLN1,24,0.493421
Inh L1-3 VIP CHRNA2,17,0.349507
Inh L1-3 VIP FNDC1,1,0.0205592
Inh L1-3 VIP HSPB6,47,0.966283
Inh L1-5 VIP CD27-AS1,3,0.0616776
Inh L1-5 VIP LINC01013,17,0.349507
Inh L1-5 VIP PHLDB3,1,0.0205592
Inh L1-5 VIP SMOC1,36,0.740132
Inh L1-6 LAMP5 AARD,65,1.33635
Inh L1-6 LAMP5 CA1,19,0.390625
Inh L1-6 LAMP5 NES,2,0.0411184
Inh L1-6 PVALB COL15A1,14,0.287829
Inh L1-6 SST NPY,4,0.0822368
Inh L2 PAX6 FREM2,2,0.0411184
Inh L2 PVALB FRZB,9,0.185033
Inh L2 VIP SLC6A16,8,0.164474
Inh L2-3 SST NMU,18,0.370066
Inh L2-5 PVALB HHIPL1,5,0.102796
Inh L2-5 PVALB RPH3AL,204,4.19408
Inh L2-5 VIP SOX11,2,0.0411184
Inh L3 PVALB SAMD13,26,0.534539
Inh L3-5 SST GGTLC3,83,1.70641
Inh L3-5 SST OR5AH1P,2,0.0411184
Inh L3-5 VIP HS3ST3A1,2,0.0411184
Inh L3-5 VIP IGDCC3,23,0.472862
Inh L3-5 VIP TAC3,14,0.287829
Inh L3-6 PAX6 LINC01497,9,0.185033
Inh L3-6 VIP ZIM2-AS1,4,0.0822368
Inh L5 PVALB LRIG3,8,0.164474
Inh L5 SST RPL35AP11,37,0.760691
Inh L5-6 LAMP5 CRABP1,13,0.267270
Inh L5-6 PVALB FAM150B,5,0.102796
Inh L5-6 PVALB GAPDHP60,6,0.123355
Inh L5-6 PVALB MEPE,14,0.287829
Inh L5-6 PVALB SST CRHR2,7,0.143914
Inh L5-6 PVALB ZFPM2-AS1,6,0.123355
Inh L5-6 SST DNAJC14,1,0.0205592
Inh L5-6 SST FBN2,8,0.164474
Inh L5-6 SST ISX,5,0.102796
Inh L5-6 SST KLHL1,6,0.123355
Inh L5-6 SST PAWR,4,0.0822368
Inh L5-6 SST PIK3CD,2,0.0411184
Inh L5-6 VIP COL4A3,2,0.0411184
Micro L1-6 TYROBP CD74,41,0.842928
Oligo L2-6 OPALIN FTH1P3,161,3.31003
Oligo L2-6 OPALIN MAP6D1,6,0.123355
OPC L1-6 PDGFRA COL20A1,48,0.986842
VLMC L1-5 PDGFRA COLEC12,5,0.102796
