cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,132,2.58773
Endo L2-5 NOSTRIN SRGN,20,0.392080
Exc L2 LAMP5 KCNG3,35,0.686140
Exc L2 LINC00507 GLRA3,1716,33.6405
Exc L2-3 RORB CCDC68,13,0.254852
Exc L2-3 RORB PTPN3,87,1.70555
Exc L3 RORB OTOGL,136,2.66614
Exc L3-5 FEZF2 ASGR2,79,1.54872
Exc L3-5 RORB LINC01202,82,1.60753
Exc L3-5 RORB LNX2,137,2.68575
Exc L3-5 RORB RPRM,36,0.705744
Exc L5 FEZF2 NREP-AS1,50,0.980200
Exc L5 RORB MED8,74,1.45070
Exc L5 THEMIS SLC22A18,10,0.196040
Exc L5-6 FEZF2 C9orf135-AS1,198,3.88159
Exc L5-6 FEZF2 IFNG-AS1,24,0.470496
Exc L5-6 FEZF2 LPO,6,0.117624
Exc L5-6 FEZF2 OR1L8,8,0.156832
Exc L5-6 FEZF2 SH2D1B,3,0.0588120
Exc L5-6 THEMIS SMYD1,248,4.86179
Exc L6 FEZF2 FFAR4,24,0.470496
Exc L6 FEZF2 KLK7,45,0.882180
Exc L6 FEZF2 PROKR2,23,0.450892
Exc L6 THEMIS SLN,62,1.21545
Exc L6 THEMIS SNTG2,186,3.64634
Inh L1 LAMP5 BMP2,26,0.509704
Inh L1 LAMP5 NMBR,39,0.764556
Inh L1 LAMP5 PVRL2,2,0.0392080
Inh L1 LAMP5 RAB11FIP1,23,0.450892
Inh L1 PAX6 CHRFAM7A,33,0.646932
Inh L1 PAX6 MIR101-1,22,0.431288
Inh L1 PVALB SST ASIC4,17,0.333268
Inh L1 SST DEFB108B,21,0.411684
Inh L1 SST P4HA3,12,0.235248
Inh L1 VIP KLHDC8B,3,0.0588120
Inh L1-2 PVALB CDK20,7,0.137228
Inh L1-2 SST CCNJL,38,0.744952
Inh L1-2 SST CLIC6,22,0.431288
Inh L1-2 SST PRRT4,7,0.137228
Inh L1-2 VIP EXPH5,12,0.235248
Inh L1-2 VIP HTR3A,5,0.0980200
Inh L1-2 VIP PTGER3,1,0.0196040
Inh L1-2 VIP SCML4,3,0.0588120
Inh L1-2 VIP WNT4,12,0.235248
Inh L1-3 SST FAM20A,181,3.54832
Inh L1-3 VIP CBLN1,12,0.235248
Inh L1-3 VIP CHRNA2,18,0.352872
Inh L1-3 VIP HSPB6,45,0.882180
Inh L1-5 VIP CD27-AS1,12,0.235248
Inh L1-5 VIP LINC01013,14,0.274456
Inh L1-5 VIP PHLDB3,2,0.0392080
Inh L1-5 VIP SMOC1,76,1.48990
Inh L1-6 LAMP5 AARD,25,0.490100
Inh L1-6 LAMP5 CA1,68,1.33307
Inh L1-6 LAMP5 NES,72,1.41149
Inh L1-6 PVALB COL15A1,31,0.607724
Inh L1-6 SST NPY,15,0.294060
Inh L1-6 VIP SLC7A6OS,16,0.313664
Inh L2 PAX6 FREM2,21,0.411684
Inh L2 PVALB FRZB,14,0.274456
Inh L2 VIP SLC6A16,23,0.450892
Inh L2-3 SST NMU,5,0.0980200
Inh L2-5 PVALB RPH3AL,160,3.13664
Inh L2-5 VIP BSPRY,6,0.117624
Inh L2-5 VIP SOX11,4,0.0784160
Inh L3 PVALB SAMD13,4,0.0784160
Inh L3-5 SST CDH3,1,0.0196040
Inh L3-5 SST GGTLC3,51,0.999804
Inh L3-5 VIP HS3ST3A1,3,0.0588120
Inh L3-5 VIP IGDCC3,31,0.607724
Inh L3-5 VIP TAC3,6,0.117624
Inh L3-6 PAX6 LINC01497,9,0.176436
Inh L3-6 VIP UG0898H09,1,0.0196040
Inh L3-6 VIP ZIM2-AS1,3,0.0588120
Inh L5 PVALB LRIG3,14,0.274456
Inh L5 SST RPL35AP11,48,0.940992
Inh L5-6 LAMP5 CRABP1,50,0.980200
Inh L5-6 PVALB FAM150B,7,0.137228
Inh L5-6 PVALB GAPDHP60,11,0.215644
Inh L5-6 PVALB MEPE,10,0.196040
Inh L5-6 PVALB ZFPM2-AS1,21,0.411684
Inh L5-6 SST C4orf26,20,0.392080
Inh L5-6 SST DNAJC14,4,0.0784160
Inh L5-6 SST ISX,8,0.156832
Inh L5-6 SST PAWR,2,0.0392080
Inh L5-6 SST PIK3CD,16,0.313664
Inh L5-6 VIP COL4A3,2,0.0392080
Inh L6 SST TH,18,0.352872
Micro L1-6 TYROBP CD74,55,1.07822
Oligo L2-6 OPALIN FTH1P3,34,0.666536
Oligo L2-6 OPALIN MAP6D1,3,0.0588120
OPC L1-6 PDGFRA COL20A1,99,1.94080
VLMC L1-5 PDGFRA COLEC12,11,0.215644
