cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,7,0.0833333
Astro L1-6 FGFR3 PLCG1,416,4.95238
Endo L2-5 NOSTRIN SRGN,21,0.250000
Exc L2 LINC00507 GLRA3,162,1.92857
Exc L2-3 RORB RTKN2,1,0.0119048
Exc L5-6 FEZF2 C9orf135-AS1,9,0.107143
Exc L6 FEZF2 FFAR4,227,2.70238
Exc L6 FEZF2 PDYN,31,0.369048
Exc L6 FEZF2 PROKR2,1,0.0119048
Inh L1 LAMP5 NMBR,2,0.0238095
Inh L1 LAMP5 RAB11FIP1,4,0.0476190
Inh L1 SST DEFB108B,8,0.0952381
Inh L1-2 VIP EXPH5,339,4.03571
Inh L1-2 VIP HTR3A,19,0.226190
Inh L1-2 VIP WNT4,15,0.178571
Inh L1-3 VIP FNDC1,726,8.64286
Inh L1-6 LAMP5 NES,38,0.452381
Inh L1-6 PVALB COL15A1,171,2.03571
Inh L1-6 SST NPY,484,5.76190
Inh L1-6 VIP SLC7A6OS,2,0.0238095
Inh L2-5 VIP BSPRY,1,0.0119048
Inh L2-5 VIP SOX11,206,2.45238
Inh L3-6 PAX6 LINC01497,149,1.77381
Inh L3-6 VIP ZIM2-AS1,7,0.0833333
Inh L5 PVALB LRIG3,107,1.27381
Inh L5-6 PVALB FAM150B,4,0.0476190
Inh L5-6 PVALB KCNIP2,2,0.0238095
Inh L5-6 SST C4orf26,98,1.16667
Inh L5-6 SST DNAJC14,4,0.0476190
Inh L5-6 SST ISX,83,0.988095
Inh L5-6 SST PIK3CD,19,0.226190
Inh L5-6 VIP COL4A3,1,0.0119048
Micro L1-6 TYROBP CD74,521,6.20238
Oligo L2-6 OPALIN FTH1P3,2631,31.3214
Oligo L3-6 OPALIN ENPP6,1171,13.9405
Oligo L3-6 OPALIN LRP4-AS1,234,2.78571
OPC L1-6 PDGFRA COL20A1,406,4.83333
VLMC L1-5 PDGFRA COLEC12,73,0.869048
