cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,106,2.43510
Exc L2 LINC00507 GLRA3,1159,26.6253
Exc L2-3 RORB CCDC68,29,0.666207
Exc L2-3 RORB PTPN3,65,1.49322
Exc L2-3 RORB RTKN2,6,0.137836
Exc L3 RORB OTOGL,87,1.99862
Exc L3 THEMIS ENPEP,21,0.482426
Exc L3-5 FEZF2 ASGR2,1,0.0229727
Exc L3-5 RORB LINC01202,196,4.50264
Exc L3-5 RORB LNX2,208,4.77831
Exc L3-5 RORB RPRM,404,9.28096
Exc L3-5 RORB TNNT2,2,0.0459453
Exc L5 FEZF2 CSN1S1,35,0.804043
Exc L5 FEZF2 NREP-AS1,29,0.666207
Exc L5 RORB MED8,106,2.43510
Exc L5 THEMIS SLC22A18,96,2.20538
Exc L5-6 FEZF2 C9orf135-AS1,45,1.03377
Exc L5-6 FEZF2 IFNG-AS1,22,0.505399
Exc L5-6 FEZF2 LPO,4,0.0918907
Exc L5-6 FEZF2 OR1L8,1,0.0229727
Exc L5-6 THEMIS SMYD1,64,1.47025
Exc L5-6 THEMIS TNFAIP6,13,0.298645
Exc L6 FEZF2 FFAR4,6,0.137836
Exc L6 FEZF2 KLK7,54,1.24052
Exc L6 FEZF2 PROKR2,3,0.0689180
Exc L6 THEMIS LINC00343,140,3.21617
Exc L6 THEMIS SLN,24,0.551344
Exc L6 THEMIS SNTG2,24,0.551344
Inh L1 LAMP5 BMP2,7,0.160809
Inh L1 LAMP5 NMBR,19,0.436481
Inh L1 LAMP5 PVRL2,2,0.0459453
Inh L1 LAMP5 RAB11FIP1,5,0.114863
Inh L1 PAX6 CHRFAM7A,34,0.781071
Inh L1 PAX6 MIR101-1,3,0.0689180
Inh L1 PVALB SST ASIC4,26,0.597289
Inh L1 SST DEFB108B,29,0.666207
Inh L1 SST P4HA3,4,0.0918907
Inh L1 VIP KLHDC8B,3,0.0689180
Inh L1-2 PVALB CDK20,1,0.0229727
Inh L1-2 SST CCNJL,42,0.964852
Inh L1-2 SST CLIC6,4,0.0918907
Inh L1-2 SST PRRT4,28,0.643235
Inh L1-2 VIP EXPH5,34,0.781071
Inh L1-2 VIP PTGER3,2,0.0459453
Inh L1-3 SST FAM20A,124,2.84861
Inh L1-3 VIP CBLN1,19,0.436481
Inh L1-3 VIP CHRNA2,13,0.298645
Inh L1-3 VIP FNDC1,10,0.229727
Inh L1-3 VIP HSPB6,66,1.51620
Inh L1-5 VIP CD27-AS1,8,0.183781
Inh L1-5 VIP LINC01013,19,0.436481
Inh L1-5 VIP SMOC1,57,1.30944
Inh L1-6 LAMP5 AARD,37,0.849989
Inh L1-6 LAMP5 CA1,30,0.689180
Inh L1-6 LAMP5 NES,24,0.551344
Inh L1-6 PVALB COL15A1,19,0.436481
Inh L1-6 SST NPY,2,0.0459453
Inh L1-6 VIP SLC7A6OS,4,0.0918907
Inh L2 PAX6 FREM2,5,0.114863
Inh L2 PVALB FRZB,17,0.390535
Inh L2 VIP SLC6A16,17,0.390535
Inh L2-3 SST NMU,34,0.781071
Inh L2-5 PVALB HHIPL1,1,0.0229727
Inh L2-5 PVALB RPH3AL,201,4.61751
Inh L3 PVALB SAMD13,14,0.321617
Inh L3-5 SST CDH3,1,0.0229727
Inh L3-5 SST GGTLC3,86,1.97565
Inh L3-5 SST OR5AH1P,1,0.0229727
Inh L3-5 VIP HS3ST3A1,3,0.0689180
Inh L3-5 VIP IGDCC3,19,0.436481
Inh L3-5 VIP TAC3,7,0.160809
Inh L3-6 PAX6 LINC01497,5,0.114863
Inh L3-6 VIP ZIM2-AS1,5,0.114863
Inh L5 PVALB LRIG3,1,0.0229727
Inh L5 SST RPL35AP11,39,0.895934
Inh L5-6 LAMP5 CRABP1,20,0.459453
Inh L5-6 PVALB MEPE,17,0.390535
Inh L5-6 PVALB SST CRHR2,4,0.0918907
Inh L5-6 PVALB ZFPM2-AS1,22,0.505399
Inh L5-6 SST BEAN1,4,0.0918907
Inh L5-6 SST C4orf26,5,0.114863
Inh L5-6 SST DNAJC14,2,0.0459453
Inh L5-6 SST FBN2,1,0.0229727
Inh L5-6 SST KLHL1,8,0.183781
Inh L5-6 SST PAWR,11,0.252699
Inh L6 SST TH,8,0.183781
Micro L1-6 TYROBP CD74,32,0.735125
Oligo L2-6 OPALIN FTH1P3,80,1.83781
OPC L1-6 PDGFRA COL20A1,55,1.26350
VLMC L1-5 PDGFRA COLEC12,3,0.0689180
