cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,1,0.0106553
Astro L1-6 FGFR3 AQP1,58,0.618007
Astro L1-6 FGFR3 PLCG1,361,3.84656
Endo L2-5 NOSTRIN SRGN,51,0.543420
Exc L2 LINC00507 GLRA3,169,1.80075
Exc L2-3 RORB CCDC68,185,1.97123
Exc L2-3 RORB RTKN2,85,0.905701
Exc L3-5 RORB LNX2,44,0.468833
Exc L3-5 RORB RPRM,4,0.0426212
Exc L5 FEZF2 NREP-AS1,17,0.181140
Exc L5 FEZF2 PKD2L1,2,0.0213106
Exc L5 THEMIS SLC22A18,1,0.0106553
Exc L5-6 FEZF2 C9orf135-AS1,31,0.330314
Exc L6 FEZF2 FFAR4,12,0.127864
Exc L6 FEZF2 KLK7,28,0.298348
Inh L1 PAX6 MIR101-1,7,0.0745871
Inh L1 SST P4HA3,1,0.0106553
Inh L1-2 VIP EXPH5,2762,29.4299
Inh L1-2 VIP HTR3A,21,0.223761
Inh L1-3 SST FAM20A,185,1.97123
Inh L1-3 VIP CBLN1,12,0.127864
Inh L1-3 VIP FNDC1,367,3.91050
Inh L1-3 VIP HSPB6,4,0.0426212
Inh L1-5 VIP CD27-AS1,290,3.09004
Inh L1-6 LAMP5 NES,104,1.10815
Inh L1-6 PVALB COL15A1,506,5.39158
Inh L1-6 SST NPY,360,3.83591
Inh L1-6 VIP SLC7A6OS,279,2.97283
Inh L2 VIP SLC6A16,1,0.0106553
Inh L2-3 SST NMU,1,0.0106553
Inh L2-5 PVALB RPH3AL,1,0.0106553
Inh L2-5 VIP SOX11,96,1.02291
Inh L3-5 SST GGTLC3,22,0.234417
Inh L3-5 SST OR5AH1P,1,0.0106553
Inh L3-6 PAX6 LINC01497,37,0.394246
Inh L3-6 VIP ZIM2-AS1,55,0.586042
Inh L5 SST RPL35AP11,5,0.0532765
Inh L5-6 PVALB FAM150B,12,0.127864
Inh L5-6 SST C4orf26,39,0.415557
Inh L5-6 SST ISX,98,1.04422
Inh L5-6 SST PIK3CD,1,0.0106553
Micro L1-6 TYROBP CD74,443,4.72030
Oligo L2-6 OPALIN FTH1P3,1716,18.2845
Oligo L3-6 OPALIN ENPP6,258,2.74907
Oligo L3-6 OPALIN LRP4-AS1,259,2.75972
OPC L1-6 PDGFRA COL20A1,260,2.77038
VLMC L1-5 PDGFRA COLEC12,133,1.41716
