cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,57,0.669879
Astro L1-6 FGFR3 AQP1,1328,15.6070
Astro L1-6 FGFR3 PLCG1,269,3.16136
Endo L2-5 NOSTRIN SRGN,455,5.34728
Exc L2 LINC00507 GLRA3,474,5.57057
Exc L5 FEZF2 PKD2L1,3,0.0352568
Exc L5-6 FEZF2 C9orf135-AS1,50,0.587613
Exc L5-6 FEZF2 LPO,352,4.13680
Exc L6 FEZF2 FFAR4,137,1.61006
Inh L1 LAMP5 BMP2,1,0.0117523
Inh L1 PAX6 CHRFAM7A,6,0.0705136
Inh L1 SST DEFB108B,1,0.0117523
Inh L1-2 VIP WNT4,1,0.0117523
Inh L1-3 SST FAM20A,1,0.0117523
Inh L1-3 VIP HSPB6,12,0.141027
Inh L1-6 LAMP5 CA1,3,0.0352568
Inh L1-6 LAMP5 NES,10,0.117523
Inh L1-6 SST NPY,1329,15.6188
Inh L2-5 VIP SOX11,3,0.0352568
Inh L3-5 SST GGTLC3,1,0.0117523
Inh L3-5 VIP IGDCC3,2,0.0235045
Inh L3-6 PAX6 LINC01497,285,3.34939
Inh L3-6 VIP ZIM2-AS1,47,0.552356
Inh L5 PVALB LRIG3,1,0.0117523
Inh L5-6 LAMP5 CRABP1,3,0.0352568
Inh L5-6 PVALB GAPDHP60,47,0.552356
Inh L5-6 PVALB KCNIP2,31,0.364320
Inh L5-6 PVALB MEPE,2,0.0235045
Inh L5-6 PVALB ZFPM2-AS1,29,0.340816
Inh L5-6 SST C4orf26,10,0.117523
Inh L5-6 SST KLHL1,1,0.0117523
Inh L6 SST TH,12,0.141027
Micro L1-6 TYROBP CD74,297,3.49042
Oligo L2-6 OPALIN FTH1P3,622,7.30991
Oligo L3-6 OPALIN ENPP6,46,0.540604
Oligo L3-6 OPALIN LRP4-AS1,48,0.564109
OPC L1-6 PDGFRA COL20A1,191,2.24468
VLMC L1-5 PDGFRA COLEC12,2342,27.5238
