cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,1,0.0207987
Astro L1-6 FGFR3 PLCG1,256,5.32446
Endo L2-5 NOSTRIN SRGN,7,0.145591
Exc L2 LINC00507 GLRA3,121,2.51664
Exc L2-3 RORB CCDC68,1,0.0207987
Exc L2-3 RORB RTKN2,27,0.561564
Exc L3 LAMP5 CARM1P1,1,0.0207987
Exc L3 RORB OTOGL,6,0.124792
Exc L5 THEMIS VILL,4,0.0831947
Exc L5-6 FEZF2 C9orf135-AS1,2,0.0415973
Exc L5-6 FEZF2 LPO,427,8.88103
Exc L6 FEZF2 FFAR4,496,10.3161
Inh L1 PAX6 CHRFAM7A,1,0.0207987
Inh L1 SST DEFB108B,7,0.145591
Inh L1-2 VIP EXPH5,222,4.61730
Inh L1-2 VIP WNT4,15,0.311980
Inh L1-3 VIP CBLN1,14,0.291181
Inh L1-3 VIP FNDC1,30,0.623960
Inh L1-3 VIP HSPB6,1,0.0207987
Inh L1-5 VIP CD27-AS1,14,0.291181
Inh L1-6 LAMP5 NES,3,0.0623960
Inh L1-6 SST NPY,980,20.3827
Inh L1-6 VIP SLC7A6OS,14,0.291181
Inh L2 VIP SLC6A16,4,0.0831947
Inh L2-5 PVALB RPH3AL,2,0.0415973
Inh L2-5 VIP SOX11,184,3.82696
Inh L3-5 PVALB ISG20,32,0.665557
Inh L3-6 PAX6 LINC01497,96,1.99667
Inh L3-6 VIP ZIM2-AS1,34,0.707155
Inh L5 PVALB LRIG3,35,0.727953
Inh L5-6 PVALB FAM150B,42,0.873544
Inh L5-6 PVALB KCNIP2,1,0.0207987
Inh L5-6 PVALB MEPE,2,0.0415973
Inh L5-6 SST C4orf26,104,2.16306
Inh L5-6 SST DNAJC14,10,0.207987
Inh L5-6 SST ISX,109,2.26705
Inh L6 SST TH,1,0.0207987
Micro L1-6 TYROBP CD74,308,6.40599
Oligo L2-6 OPALIN FTH1P3,561,11.6681
Oligo L3-6 OPALIN ENPP6,208,4.32612
Oligo L3-6 OPALIN LRP4-AS1,64,1.33111
OPC L1-6 PDGFRA COL20A1,338,7.02995
VLMC L1-5 PDGFRA COLEC12,23,0.478369
