cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,13,0.185185
Astro L1-6 FGFR3 PLCG1,138,1.96581
Endo L2-5 NOSTRIN SRGN,2,0.0284900
Exc L2 LAMP5 KCNG3,28,0.398860
Exc L2 LINC00507 GLRA3,4266,60.7692
Exc L5 FEZF2 CSN1S1,5,0.0712251
Exc L5 FEZF2 PKD2L1,38,0.541311
Exc L5 THEMIS LINC01116,51,0.726496
Exc L5-6 FEZF2 C9orf135-AS1,356,5.07123
Exc L5-6 FEZF2 LPO,121,1.72365
Exc L6 FEZF2 FFAR4,897,12.7778
Inh L1 LAMP5 BMP2,1,0.0142450
Inh L1 PAX6 MIR101-1,1,0.0142450
Inh L1 PVALB SST ASIC4,1,0.0142450
Inh L1-2 SST CLIC6,15,0.213675
Inh L1-2 VIP WNT4,28,0.398860
Inh L1-3 SST FAM20A,4,0.0569801
Inh L1-3 VIP CBLN1,160,2.27920
Inh L1-6 LAMP5 CA1,9,0.128205
Inh L1-6 LAMP5 NES,7,0.0997151
Inh L1-6 SST NPY,36,0.512821
Inh L1-6 VIP SLC7A6OS,2,0.0284900
Inh L3-5 VIP HS3ST3A1,11,0.156695
Inh L3-5 VIP IGDCC3,4,0.0569801
Inh L3-6 PAX6 LINC01497,129,1.83761
Inh L5 SST RPL35AP11,2,0.0284900
Inh L5-6 PVALB FAM150B,139,1.98006
Inh L5-6 PVALB MEPE,1,0.0142450
Micro L1-6 TYROBP CD74,67,0.954416
Oligo L2-6 OPALIN FTH1P3,318,4.52991
Oligo L3-6 OPALIN ENPP6,26,0.370370
Oligo L3-6 OPALIN LRP4-AS1,43,0.612536
OPC L1-6 PDGFRA COL20A1,67,0.954416
VLMC L1-5 PDGFRA COLEC12,34,0.484330
