cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,1,0.0129383
Astro L1-6 FGFR3 AQP1,182,2.35477
Astro L1-6 FGFR3 PLCG1,371,4.80010
Endo L2-5 NOSTRIN SRGN,17,0.219951
Exc L2 LAMP5 KCNG3,1259,16.2893
Exc L2 LINC00507 ATP7B,227,2.93699
Exc L2 LINC00507 GLRA3,1805,23.3536
Exc L2-3 RORB CCDC68,1,0.0129383
Exc L3 RORB OTOGL,751,9.71665
Exc L3-5 FEZF2 ASGR2,8,0.103506
Exc L5 FEZF2 CSN1S1,7,0.0905680
Exc L5 FEZF2 PKD2L1,1,0.0129383
Exc L5 THEMIS SLC22A18,15,0.194074
Exc L5-6 FEZF2 C9orf135-AS1,26,0.336395
Exc L5-6 FEZF2 LPO,1,0.0129383
Exc L5-6 THEMIS SMYD1,1,0.0129383
Exc L6 FEZF2 FFAR4,4,0.0517531
Exc L6 FEZF2 POGK,20,0.258766
Exc L6 FEZF2 PROKR2,32,0.414025
Exc L6 THEMIS SLN,38,0.491655
Exc L6 THEMIS SNTG2,55,0.711606
Inh L1 LAMP5 BMP2,58,0.750420
Inh L1 LAMP5 NMBR,6,0.0776297
Inh L1 LAMP5 PVRL2,58,0.750420
Inh L1 LAMP5 RAB11FIP1,7,0.0905680
Inh L1 PAX6 CHRFAM7A,54,0.698667
Inh L1 PAX6 MIR101-1,32,0.414025
Inh L1 SST DEFB108B,23,0.297581
Inh L1 SST P4HA3,16,0.207013
Inh L1 VIP KLHDC8B,10,0.129383
Inh L1-2 PVALB CDK20,126,1.63022
Inh L1-2 SST CCNJL,21,0.271704
Inh L1-2 VIP EXPH5,29,0.375210
Inh L1-2 VIP PTGER3,3,0.0388149
Inh L1-2 VIP WNT4,17,0.219951
Inh L1-3 SST FAM20A,182,2.35477
Inh L1-3 VIP CHRNA2,1,0.0129383
Inh L1-3 VIP FNDC1,24,0.310519
Inh L1-3 VIP HSPB6,75,0.970371
Inh L1-5 VIP CD27-AS1,3,0.0388149
Inh L1-5 VIP LINC01013,25,0.323457
Inh L1-5 VIP SMOC1,91,1.17738
Inh L1-6 LAMP5 AARD,58,0.750420
Inh L1-6 LAMP5 CA1,122,1.57847
Inh L1-6 LAMP5 NES,137,1.77254
Inh L1-6 PVALB COL15A1,99,1.28089
Inh L1-6 SST NPY,20,0.258766
Inh L1-6 VIP SLC7A6OS,13,0.168198
Inh L2 PAX6 FREM2,30,0.388149
Inh L2 VIP SLC6A16,6,0.0776297
Inh L2-3 SST NMU,2,0.0258766
Inh L2-5 PVALB RPH3AL,31,0.401087
Inh L2-5 VIP BSPRY,14,0.181136
Inh L2-5 VIP SOX11,14,0.181136
Inh L3-5 VIP HS3ST3A1,22,0.284642
Inh L3-5 VIP IGDCC3,118,1.52672
Inh L3-5 VIP TAC3,1,0.0129383
Inh L3-6 PAX6 LINC01497,8,0.103506
Inh L3-6 VIP ZIM2-AS1,19,0.245827
Inh L5 PVALB LRIG3,3,0.0388149
Inh L5-6 LAMP5 CRABP1,35,0.452840
Inh L5-6 PVALB FAM150B,2,0.0258766
Inh L5-6 PVALB SST CRHR2,1,0.0129383
Inh L5-6 SST C4orf26,1,0.0129383
Inh L5-6 VIP COL4A3,10,0.129383
Inh L6 SST TH,2,0.0258766
Micro L1-6 TYROBP CD74,106,1.37146
Oligo L2-6 OPALIN FTH1P3,733,9.48376
Oligo L2-6 OPALIN MAP6D1,33,0.426963
Oligo L3-6 OPALIN ENPP6,39,0.504593
Oligo L3-6 OPALIN LRP4-AS1,38,0.491655
OPC L1-6 PDGFRA COL20A1,262,3.38983
VLMC L1-5 PDGFRA COLEC12,67,0.866865
