cell_type,count,percentage
Astro L1-6 FGFR3 PLCG1,93,1.78469
Exc L2 LAMP5 KCNG3,9,0.172712
Exc L2 LINC00507 GLRA3,1183,22.7020
Exc L2-3 RORB CCDC68,49,0.940319
Exc L2-3 RORB PTPN3,102,1.95740
Exc L2-3 RORB RTKN2,1,0.0191902
Exc L3 LAMP5 CARM1P1,19,0.364613
Exc L3 RORB OTOGL,182,3.49261
Exc L3 THEMIS ENPEP,20,0.383803
Exc L3-5 RORB LAMA4,3,0.0575705
Exc L3-5 RORB LINC01202,445,8.53963
Exc L3-5 RORB LNX2,500,9.59509
Exc L3-5 RORB RPRM,52,0.997889
Exc L5 FEZF2 CSN1S1,10,0.191902
Exc L5 FEZF2 NREP-AS1,1,0.0191902
Exc L5 FEZF2 RNF144A-AS1,13,0.249472
Exc L5 RORB MED8,46,0.882748
Exc L5 THEMIS SLC22A18,113,2.16849
Exc L5-6 FEZF2 C9orf135-AS1,115,2.20687
Exc L5-6 FEZF2 IFNG-AS1,86,1.65036
Exc L5-6 FEZF2 OR1L8,4,0.0767607
Exc L5-6 THEMIS SMYD1,63,1.20898
Exc L5-6 THEMIS TNFAIP6,10,0.191902
Exc L6 FEZF2 FFAR4,2,0.0383803
Exc L6 FEZF2 KLK7,46,0.882748
Exc L6 FEZF2 POGK,3,0.0575705
Exc L6 FEZF2 PROKR2,11,0.211092
Exc L6 THEMIS LINC00343,30,0.575705
Exc L6 THEMIS SLN,132,2.53310
Exc L6 THEMIS SNTG2,139,2.66743
Inh L1 LAMP5 BMP2,14,0.268662
Inh L1 LAMP5 NMBR,11,0.211092
Inh L1 LAMP5 RAB11FIP1,15,0.287853
Inh L1 PAX6 CHRFAM7A,10,0.191902
Inh L1 PAX6 MIR101-1,17,0.326233
Inh L1 PVALB SST ASIC4,19,0.364613
Inh L1 SST DEFB108B,21,0.402994
Inh L1 SST P4HA3,1,0.0191902
Inh L1 VIP KLHDC8B,6,0.115141
Inh L1-2 PVALB CDK20,18,0.345423
Inh L1-2 SST CCNJL,37,0.710036
Inh L1-2 SST CLIC6,1,0.0191902
Inh L1-2 SST PRRT4,39,0.748417
Inh L1-2 VIP EXPH5,39,0.748417
Inh L1-2 VIP PTGER3,3,0.0575705
Inh L1-2 VIP SCML4,1,0.0191902
Inh L1-3 SST FAM20A,108,2.07254
Inh L1-3 VIP CBLN1,35,0.671656
Inh L1-3 VIP CHRNA2,17,0.326233
Inh L1-3 VIP FNDC1,12,0.230282
Inh L1-3 VIP HSPB6,72,1.38169
Inh L1-5 VIP CD27-AS1,3,0.0575705
Inh L1-5 VIP LINC01013,19,0.364613
Inh L1-5 VIP SMOC1,38,0.729227
Inh L1-6 LAMP5 AARD,65,1.24736
Inh L1-6 LAMP5 CA1,23,0.441374
Inh L1-6 LAMP5 NES,22,0.422184
Inh L1-6 PVALB COL15A1,12,0.230282
Inh L1-6 SST NPY,6,0.115141
Inh L1-6 VIP SLC7A6OS,3,0.0575705
Inh L2 PAX6 FREM2,4,0.0767607
Inh L2 PVALB FRZB,1,0.0191902
Inh L2 VIP SLC6A16,21,0.402994
Inh L2-3 SST NMU,16,0.307043
Inh L2-5 PVALB HHIPL1,1,0.0191902
Inh L2-5 PVALB RPH3AL,210,4.02994
Inh L2-5 VIP BSPRY,2,0.0383803
Inh L2-5 VIP SOX11,1,0.0191902
Inh L3 PVALB SAMD13,9,0.172712
Inh L3-5 SST GGTLC3,146,2.80177
Inh L3-5 SST OR5AH1P,3,0.0575705
Inh L3-5 VIP HS3ST3A1,8,0.153521
Inh L3-5 VIP IGDCC3,30,0.575705
Inh L3-5 VIP TAC3,18,0.345423
Inh L3-6 VIP ZIM2-AS1,5,0.0959509
Inh L5 SST RPL35AP11,73,1.40088
Inh L5-6 LAMP5 CRABP1,30,0.575705
Inh L5-6 PVALB GAPDHP60,8,0.153521
Inh L5-6 PVALB KCNIP2,9,0.172712
Inh L5-6 PVALB MEPE,20,0.383803
Inh L5-6 PVALB SST CRHR2,13,0.249472
Inh L5-6 PVALB ZFPM2-AS1,11,0.211092
Inh L5-6 SST C4orf26,10,0.191902
Inh L5-6 SST FBN2,1,0.0191902
Inh L5-6 SST ISX,7,0.134331
Inh L5-6 SST KLHL1,17,0.326233
Inh L5-6 SST PAWR,8,0.153521
Inh L5-6 SST PIK3CD,1,0.0191902
Inh L5-6 VIP COL4A3,4,0.0767607
Inh L6 SST TH,11,0.211092
Micro L1-6 TYROBP CD74,52,0.997889
Oligo L2-6 OPALIN FTH1P3,234,4.49050
Oligo L2-6 OPALIN MAP6D1,2,0.0383803
Oligo L3-6 OPALIN ENPP6,5,0.0959509
OPC L1-6 PDGFRA COL20A1,50,0.959509
VLMC L1-5 PDGFRA COLEC12,1,0.0191902
