cell_type,count,percentage
Astro L1-6 FGFR3 AQP1,22,0.427932
Astro L1-6 FGFR3 PLCG1,120,2.33418
Exc L2 LINC00507 GLRA3,1416,27.5433
Exc L2-3 RORB CCDC68,50,0.972573
Exc L2-3 RORB PTPN3,41,0.797510
Exc L2-3 RORB RTKN2,17,0.330675
Exc L3 LAMP5 CARM1P1,28,0.544641
Exc L3 RORB OTOGL,65,1.26435
Exc L3 THEMIS ENPEP,99,1.92570
Exc L3-5 RORB LINC01202,393,7.64443
Exc L3-5 RORB LNX2,486,9.45341
Exc L3-5 RORB RPRM,108,2.10076
Exc L3-5 RORB TNNT2,1,0.0194515
Exc L5 FEZF2 CSN1S1,18,0.350126
Exc L5 FEZF2 NREP-AS1,4,0.0778059
Exc L5 RORB MED8,79,1.53667
Exc L5 THEMIS FGF10,1,0.0194515
Exc L5 THEMIS SLC22A18,61,1.18654
Exc L5-6 FEZF2 C9orf135-AS1,80,1.55612
Exc L5-6 FEZF2 IFNG-AS1,58,1.12819
Exc L5-6 FEZF2 OR1L8,7,0.136160
Exc L5-6 THEMIS SMYD1,92,1.78954
Exc L5-6 THEMIS TNFAIP6,26,0.505738
Exc L6 FEZF2 FFAR4,3,0.0583544
Exc L6 FEZF2 KLK7,46,0.894768
Exc L6 FEZF2 POGK,1,0.0194515
Exc L6 FEZF2 PROKR2,17,0.330675
Exc L6 THEMIS LINC00343,145,2.82046
Exc L6 THEMIS SLN,51,0.992025
Exc L6 THEMIS SNTG2,14,0.272321
Inh L1 LAMP5 BMP2,13,0.252869
Inh L1 LAMP5 NMBR,31,0.602996
Inh L1 PAX6 CHRFAM7A,25,0.486287
Inh L1 PAX6 MIR101-1,11,0.213966
Inh L1 PVALB SST ASIC4,18,0.350126
Inh L1 SST DEFB108B,31,0.602996
Inh L1 SST P4HA3,3,0.0583544
Inh L1 VIP KLHDC8B,5,0.0972573
Inh L1-2 PVALB CDK20,5,0.0972573
Inh L1-2 SST CCNJL,38,0.739156
Inh L1-2 SST PRRT4,38,0.739156
Inh L1-2 VIP EXPH5,30,0.583544
Inh L1-2 VIP PTGER3,2,0.0389029
Inh L1-2 VIP SCML4,5,0.0972573
Inh L1-2 VIP WNT4,3,0.0583544
Inh L1-3 SST FAM20A,116,2.25637
Inh L1-3 VIP CBLN1,33,0.641898
Inh L1-3 VIP CHRNA2,16,0.311223
Inh L1-3 VIP FNDC1,18,0.350126
Inh L1-3 VIP HSPB6,69,1.34215
Inh L1-5 VIP CD27-AS1,3,0.0583544
Inh L1-5 VIP LINC01013,20,0.389029
Inh L1-5 VIP SMOC1,36,0.700253
Inh L1-6 LAMP5 AARD,68,1.32270
Inh L1-6 LAMP5 CA1,16,0.311223
Inh L1-6 LAMP5 NES,21,0.408481
Inh L1-6 PVALB COL15A1,11,0.213966
Inh L1-6 SST NPY,2,0.0389029
Inh L2 PAX6 FREM2,5,0.0972573
Inh L2 PVALB FRZB,4,0.0778059
Inh L2 VIP SLC6A16,24,0.466835
Inh L2-3 SST NMU,6,0.116709
Inh L2-5 PVALB HHIPL1,2,0.0389029
Inh L2-5 PVALB RPH3AL,208,4.04591
Inh L2-5 VIP SOX11,2,0.0389029
Inh L3 PVALB SAMD13,8,0.155612
Inh L3-5 SST GGTLC3,62,1.20599
Inh L3-5 SST OR5AH1P,1,0.0194515
Inh L3-5 VIP HS3ST3A1,1,0.0194515
Inh L3-5 VIP IGDCC3,23,0.447384
Inh L3-5 VIP TAC3,12,0.233418
Inh L3-6 PAX6 LINC01497,2,0.0389029
Inh L3-6 VIP ZIM2-AS1,7,0.136160
Inh L5 PVALB LRIG3,2,0.0389029
Inh L5 SST RPL35AP11,41,0.797510
Inh L5-6 LAMP5 CRABP1,34,0.661350
Inh L5-6 PVALB FAM150B,1,0.0194515
Inh L5-6 PVALB GAPDHP60,9,0.175063
Inh L5-6 PVALB MEPE,19,0.369578
Inh L5-6 PVALB SST CRHR2,6,0.116709
Inh L5-6 PVALB ZFPM2-AS1,20,0.389029
Inh L5-6 SST FBN2,7,0.136160
Inh L5-6 SST KLHL1,8,0.155612
Inh L5-6 SST PAWR,3,0.0583544
Inh L5-6 SST PIK3CD,3,0.0583544
Inh L6 SST TH,9,0.175063
Micro L1-6 TYROBP CD74,61,1.18654
Oligo L2-6 OPALIN FTH1P3,216,4.20152
Oligo L2-6 OPALIN MAP6D1,2,0.0389029
Oligo L3-6 OPALIN ENPP6,3,0.0583544
Oligo L3-6 OPALIN LRP4-AS1,9,0.175063
OPC L1-6 PDGFRA COL20A1,73,1.41996
VLMC L1-5 PDGFRA COLEC12,12,0.233418
