cell_type,count,percentage
Astro L1 FGFR3 SERPINI2,20,0.236155
Astro L1-6 FGFR3 AQP1,41,0.484119
Astro L1-6 FGFR3 PLCG1,164,1.93647
Endo L2-5 NOSTRIN SRGN,34,0.401464
Exc L2 LAMP5 KCNG3,4104,48.4591
Exc L2 LINC00507 ATP7B,10,0.118078
Exc L2 LINC00507 GLRA3,404,4.77034
Exc L5 FEZF2 CSN1S1,804,9.49345
Exc L5 FEZF2 PKD2L1,84,0.991853
Exc L5-6 THEMIS SMYD1,765,9.03294
Inh L1 LAMP5 BMP2,55,0.649427
Inh L1 LAMP5 NMBR,8,0.0944622
Inh L1 LAMP5 PVRL2,18,0.212540
Inh L1 LAMP5 RAB11FIP1,40,0.472311
Inh L1 PAX6 CHRFAM7A,33,0.389656
Inh L1 PAX6 MIR101-1,20,0.236155
Inh L1 SST DEFB108B,17,0.200732
Inh L1 SST P4HA3,1,0.0118078
Inh L1 VIP KLHDC8B,7,0.0826544
Inh L1-2 SST CLIC6,13,0.153501
Inh L1-2 VIP EXPH5,9,0.106270
Inh L1-2 VIP PTGER3,10,0.118078
Inh L1-2 VIP WNT4,45,0.531350
Inh L1-3 SST FAM20A,113,1.33428
Inh L1-3 VIP CBLN1,7,0.0826544
Inh L1-3 VIP CHRNA2,10,0.118078
Inh L1-3 VIP FNDC1,1,0.0118078
Inh L1-3 VIP HSPB6,37,0.436887
Inh L1-5 VIP LINC01013,5,0.0590388
Inh L1-5 VIP SMOC1,28,0.330618
Inh L1-6 LAMP5 AARD,26,0.307002
Inh L1-6 LAMP5 CA1,150,1.77117
Inh L1-6 LAMP5 NES,49,0.578581
Inh L1-6 PVALB COL15A1,9,0.106270
Inh L1-6 SST NPY,5,0.0590388
Inh L1-6 VIP SLC7A6OS,13,0.153501
Inh L2 PAX6 FREM2,10,0.118078
Inh L2 VIP SLC6A16,1,0.0118078
Inh L2-3 SST NMU,8,0.0944622
Inh L2-5 PVALB RPH3AL,26,0.307002
Inh L2-5 VIP BSPRY,10,0.118078
Inh L2-5 VIP SOX11,34,0.401464
Inh L3-5 SST OR5AH1P,3,0.0354233
Inh L3-5 VIP IGDCC3,11,0.129885
Inh L3-5 VIP TAC3,20,0.236155
Inh L3-6 VIP ZIM2-AS1,5,0.0590388
Inh L5 SST RPL35AP11,30,0.354233
Inh L5-6 LAMP5 CRABP1,26,0.307002
Inh L5-6 VIP COL4A3,19,0.224348
Micro L1-6 TYROBP CD74,162,1.91286
Oligo L2-6 OPALIN FTH1P3,701,8.27725
Oligo L3-6 OPALIN ENPP6,87,1.02728
Oligo L3-6 OPALIN LRP4-AS1,25,0.295194
OPC L1-6 PDGFRA COL20A1,118,1.39332
VLMC L1-5 PDGFRA COLEC12,14,0.165309
